75_02526269	75.02526269	
77_01235688	77.01235688	
78_95837265	78.95837265	
80_9161215	80.9161215	
88_04013363	88.04013363	C00041;C00099;C00133;C00213;C01401;C01537;C02116;C11488
92_92770529	92.92770529	C13563
94_92414748	94.92414748	
102_0550047	102.0550047	
104_034937	104.034937	C00065;C00488;C00716;C00740
116_0712257	116.0712257	C00183;C00431;C00719;C01799;C01826;C03571;C06417;C07457;C14150;C15987;C16436;C19257
117_0033442	117.0033442	
117_9747926	117.9747926	
118_050495	118.050495	C00188;C00263;C00820;C02115;C03678;C05519;C06244;C06735;C11108;C11489;C12317
119_0491788	119.0491788	
122_0236901	122.0236901	
122_0712779	122.0712779	
122_9911897	122.9911897	
123_0108232	123.0108232	
127_0501267	127.0501267	
128_0348006	128.0348006	C01877;C01879;C02237;C04281;C04282;C22141
128_958413	128.958413	
130_0040009	130.0040009	C02389;C05060
130_0498117	130.0498117	
130_0868072	130.0868072	C00123;C00407;C01570;C01933;C02378;C02486;C06418;C08263;C12244;C16434;C16439;C16647;C21092;C21096
131_0450664	131.0450664	
131_0894885	131.0894885	
132_0112783	132.0112783	
132_0847729	132.0847729	
132_9451895	132.9451895	
132_981378	132.981378	
134_0460373	134.0460373	C00037;C01837;C03059;C06056;C06808;C19445
134_9147671	134.9147671	
134_9595959	134.9595959	
135_0286584	135.0286584	
136_9311493	136.9311493	
144_0653453	144.0653453	
144_9980713	144.9980713	
145_0606808	145.0606808	
145_0970189	145.0970189	
145_0976358	145.0976358	C00047;C00739;C01142;C01186;C05161;C07973;C16440;C20277
145_9977069	145.9977069	
146_0638797	146.0638797	C17245
146_9962676	146.9962676	C00106;C02560;C05130;C18474
147_0437732	147.0437732	
147_0478974	147.0478974	
148_0424661	148.0424661	
148_0432248	148.0432248	C00073;C00855;C01733;C07418
148_9786927	148.9786927	C18773;C19304
150_9466688	150.9466688	
150_9475443	150.9475443	
152_0018275	152.0018275	C00606
152_9436229	152.9436229	
152_9944598	152.9944598	
154_0610817	154.0610817	
155_0577315	155.0577315	C06558;C11345
155_0641498	155.0641498	
155_0650606	155.0650606	
156_0418612	156.0418612	
156_0764963	156.0764963	
156_0773533	156.0773533	C02026
156_9635479	156.9635479	
157_0351737	157.0351737	
157_9837807	157.9837807	C03311
157_9927395	157.9927395	
158_9770758	158.9770758	C18300;C19165
158_9884475	158.9884475	C19239
159_0760182	159.0760182	
160_0142757	160.0142757	C05679
160_0151752	160.0151752	C05679
160_0600362	160.0600362	
160_0609919	160.0609919	C00956;C01046;C01077;C01234;C02207;C02926;C03210;C05016;C06234;C07509;C08267;C11106;C17234;C17581;C19456;C19694;C19777;C20255;C20905
161_009125	161.009125	C01127;C05946;C20485
161_0110051	161.0110051	
161_0118939	161.0118939	C00178;C02835;C03007;C05827
161_9923944	161.9923944	
162_963925	162.963925	
162_964806	162.964806	
163_0973508	163.0973508	
164_9257622	164.9257622	
164_9334015	164.9334015	
164_9619981	164.9619981	
165_0735013	165.0735013	
166_050401	166.050401	C00250;C03493;C03986;C05831;C06051;C06876;C07151;C07327;C12323;C14170;C14171;C17500;C20821
166_060615	166.060615	C01035
166_9808823	166.9808823	
167_0194777	167.0194777	
167_0422123	167.0422123	C19400
168_0263798	168.0263798	
168_0272015	168.0272015	C00025;C00217;C00302;C00979;C03618;C03790;C05574;C05938;C05941;C12269
168_0415355	168.0415355	
168_0425229	168.0425229	C00123;C00407;C01570;C01933;C02366;C02378;C02389;C02486;C05060;C06418;C08263;C13482;C14639;C16434;C16439;C16647;C20313;C21092;C21096
