"","geneid","SiteD01","SiteD02","SiteD03","SiteD04","SiteD05","SiteD06","SiteD07","SiteD08","SiteD09","SiteD10","SiteD11","SiteD12","AveExpr","F","P.Value","adj.P.Val","max_log2FC"
"1","Dapma7bEVm029182",-1.85751390538394,-2.39272075270841,-2.60482677863831,-2.41552496567896,-1.98715386779053,-1.94012361044771,-1.78089153021289,-1.93694937360593,-2.58399199251052,-2.38906606545888,-2.55532749656947,-2.44524387478819,5.39186057947518,9.00877529652008,1.16943451933577e-12,2.21058207190041e-08,4.38916707482171
"2","Dapma7bEVm011186",0.301935042847904,0.0214549201000527,-0.337746401394987,-0.339882078218288,-0.0420897545660517,0.0745317881190202,-0.06871752496817,0.330209523483815,0.0666113521326043,-0.171727622469803,-0.484869789631401,-0.525318529535023,7.27547643935204,7.02407388942355,6.76140815976861e-10,6.3905449222053e-06,2.34877292281671
"3","Dapma7bEVm000159",0.309995639475569,-0.369575408427538,-1.32428900239008,-1.06668633075186,-0.159250715661308,-0.134263568973298,-0.394254057732647,0.18588702206351,-0.47440333062998,-0.762643796631087,-1.46923978208478,-1.28864969749596,9.57726540637139,6.44391890926525,4.73959438918157e-09,2.98641842462331e-05,4.16848019818111
"4","Dapma7bEVm010666",-0.828491301691686,-1.3634267990923,-1.27285221488425,-1.55813454045803,-1.04659766411202,-1.1323827004988,-1.0919927422326,-1.24908256263928,-1.66779409069628,-1.48004318009517,-1.65219927154793,-1.45755106600123,5.06422664218422,6.26952300785137,8.57571763522228e-09,4.05266976146517e-05,2.61496803972496
"5","Dapma7bEVm010471",0.113776939923917,-0.170802149129397,-0.272606882971815,-0.254234567537976,-0.0131790289589224,-0.0714388714427519,-0.0615431611369437,-0.0821404108109408,-0.246273215247496,-0.214847170881192,-0.335299831828929,-0.273583176846726,9.76963792462498,6.10024924238938,1.52990434760301e-08,5.78395637654794e-05,1.28061371467459
"6","Dapma7bEVm009979",0.303035231567294,0.445476494398143,0.519978542249361,0.542020905758128,0.220077806738384,0.381936790710272,0.429553692362835,0.202413842309383,0.534771242300301,0.482568773552091,0.625894708106298,0.774249346366649,8.47343661228733,5.88279629033335,3.23320526403456e-08,0.000101862131843409,1.53315144464761
"7","Dapma7bEVm017338",0.384786330533454,0.394176287090078,0.27127003225825,0.367650316255372,0.0181094684044572,0.0860169277487846,0.161058138829585,0.100529088898214,0.828328349767991,0.567149913610197,0.510763506060065,0.316502405353501,4.78868708528111,5.8349091231013,3.81502432781371e-08,0.000103022006955232,1.83299840344389
"8","Dapma7bEVm028529",-2.6651880723927,-3.35119651531339,-4.03316220261183,-3.58573816522033,-2.94354030747627,-3.19188578514951,-2.62233535772899,-2.89492228032172,-4.31891398633118,-3.98758497308089,-3.8165985962679,-3.8508485226104,7.33838828649962,5.77046335598296,4.76846658094953e-08,0.000104963420374435,7.4468055669113
"9","Dapma7bEVm014965",0.122741621180272,-0.388162242428294,-0.847533138784648,-0.826588057630419,-0.520830074235354,-0.469638963274628,-0.874731727264484,-0.0788258652734703,-0.581123627914255,-0.575507712806731,-1.49821239201227,-2.35770322080428,8.44639235679947,5.75692868936782,4.99746486467711e-08,0.000104963420374435,5.31191023061976
"10","Dapma7bEVm009325",-0.0535356796445544,-0.246423968292711,-0.771336150487297,-0.490607161907199,-0.0706873204164293,-0.295377222078159,-0.333363358699265,0.0885929988196382,-0.362880067909443,-0.440175598778267,-0.800315571249954,-0.801342546498156,5.95426780150678,5.59992926421986,8.62298207221449e-08,0.000152658854943128,2.72930493886795
"11","Dapma7bEVm010100",-0.506040656136532,-0.844279302892584,-1.13743910726037,-0.913499685883978,-0.994700286836566,-0.627658489596088,-0.740528701166445,-0.407409015118991,-0.566568124232983,-0.870345910916811,-1.26328758565075,-1.37267674729755,5.36198270947357,5.59138390294006,8.88349682259117e-08,0.000152658854943128,2.47305111223406
"12","Dapma7bEVm015197",-0.498776246147973,-1.15382187658481,-1.35100414137455,-1.6518421113361,-1.20772490949728,-1.1409945979684,-1.50347336421601,-0.527911549405732,-1.30627505211709,-1.20419525831258,-2.23212364407001,-3.76293051855378,9.94131440604759,5.4856338285719,1.28474517322137e-07,0.000202379483411696,7.00794019769591
"13","Dapma7bEVm000393",-0.153538930922742,-0.657772461835949,-0.890165652330707,-0.773345252383731,-0.394177981598338,-0.369329156188851,-0.337184569894187,-0.301327398670901,-0.896103911299189,-0.758516387340133,-0.681897020156633,-0.774480106597043,6.42470636182881,5.34398521204238,2.10959770616062e-07,0.000306751734150418,2.71001429230887
"14","Dapma7bEVm028338",0.42727311727369,-0.485850610699538,-1.17261788226166,-1.04193160618758,-0.214664519401438,-0.296952277067796,-0.674585079295255,0.195981583154347,-0.550033799565587,-0.598405498000255,-1.75195671640975,-2.53424377936252,8.91002819401099,5.3199645832912,2.29513292660392e-07,0.000309892126511385,6.93974681317442
"15","Dapma7bEVm009524",0.0115219996632998,-0.550671851979571,-1.20471411009497,-0.954332169821384,-0.698891550681625,-0.626201897319744,-0.893235252890323,-0.190250577902194,-0.78857325034037,-0.708063220708722,-1.87921556027323,-2.96731609487509,11.531884384558,5.29362445723403,2.51755207857031e-07,0.000317261912941431,7.12126650136063
"16","Dapma7bEVm010433",0.179615661548294,-0.125662117319875,-1.30565154611618,-0.462872761662542,-0.351366669866978,-0.394815698023901,-0.336332845906189,0.000531439810112051,-0.389723294589646,-0.429408233917028,-0.886528741067641,-1.0558837588106,5.98578110070911,5.26896540631304,2.74543477340317e-07,0.000320118365737735,3.11218345134077
"17","Dapma7bEVm010090",-0.246542132257071,-0.860686331443128,-1.15183472768432,-1.28213429731123,-0.943160624960353,-0.947281056489719,-1.29527793781492,-0.386870775618509,-1.00698886081436,-0.900768750999908,-2.09420734566368,-3.88189885423157,10.7787883998878,5.25546244072854,2.87891457310559e-07,0.000320118365737735,7.32000533412323
"18","Dapma7bEVm001627",-0.131913682405608,-0.687559215387664,-1.4676840345137,-1.2540148653113,-0.649937886806634,-0.670189965462085,-0.901108714195344,-0.270461164365419,-0.922663088042737,-0.944019080116651,-2.02161424519732,-3.21577247047324,11.5103238519661,5.21089585931464,3.36767114627167e-07,0.000353661598210963,6.82844999505922
"19","Dapma7bEVm027580",-0.289837993841357,-0.788473335793562,-1.11238150514819,-1.04415141969427,-0.90810238410425,-0.970209384408601,-1.08389131799502,-0.481450309170669,-0.849376031251988,-0.883096774718461,-1.70547305670345,-2.89351233947447,10.9778046726233,5.17239145851931,3.85683494951725e-07,0.00038371447921434,6.14216812476198
"20","Dapma7bEVm010556",0.18209492797192,-0.0617463805010828,-0.733107177523326,-0.432465369932449,0.13137221998797,-0.297080774006486,-0.536052919078053,-0.096605503072579,-0.446493937531481,-0.453261545907636,-1.27970639160137,-1.72529424266758,9.17759460562398,5.14700733227928,4.21787729462279e-07,0.000398652672501273,4.64850002084861
"21","Dapma7bEVm010900",0.0463500869405337,-0.237180560358005,-1.01092075516458,-0.729887975583521,-0.365146953274994,-0.524503790562857,-0.736080647993977,-0.0452444539065206,-0.568940398071367,-0.557996481533002,-1.44277583030714,-2.31576171604649,8.73393259213382,5.04237462067785,6.10307347034671e-07,0.000522095612431599,5.58746933599063
"22","Dapma7bEVm019453",0.12073957451354,-0.354500147060956,-0.950148687714669,-0.573605507648423,-0.120083796518135,-0.166503825283771,0.151660089660951,-0.363016301551276,-0.727176767342071,-0.414895550354639,-0.622746328573781,-0.370162794276427,5.48488780516952,5.03191147096102,6.33310538632456e-07,0.000522095612431599,2.71565665248672
"23","Dapma7bEVm027502",-0.0847981523713341,-0.621611012543654,-1.36478781659719,-0.992513104289705,-0.326005205613106,-0.450161535491104,-0.810040731058303,-0.0966069337045019,-0.864250928022795,-0.841426298203435,-1.89740778090801,-2.40749741980846,9.61846258495146,5.00366655154231,6.99861935274567e-07,0.000522095612431599,5.37645696846083
"24","Dapma7bEVm011193",0.111406610311434,-0.254113481172687,-0.711073084288745,-0.633801125901765,-0.518160522078209,-0.516565011950164,-0.741889110434241,-0.046534792829096,-0.637941373732608,-0.505211433274357,-1.28691332212377,-2.51615293120069,9.04391784146765,4.96459661013168,8.03688908634732e-07,0.000522095612431599,5.78820855513027
"25","Dapma7bEVm015116",-0.112699518644581,-0.645477560079654,-1.15441733738179,-1.22464482482123,-0.769701465280574,-0.659751251761245,-1.12237536651222,-0.288118933373056,-0.792434909921476,-0.771181633720808,-1.93973150531198,-2.99601634162448,9.10536110180189,4.9508034436186,8.43937262932327e-07,0.000522095612431599,6.29653304807501
"26","Dapma7bEVm023148",-0.482406727563433,-0.839307093566827,-0.779992725419136,-0.79084737529708,-0.507149854725106,-0.396441651406083,-0.338418776143387,-0.326066241804313,-0.776775461441044,-0.827308357164477,-0.936188321515748,-0.811282290908427,7.5298690370133,4.94767453736739,8.53346193081194e-07,0.000522095612431599,2.12578328391618
