"sample_id","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102","PC103","PC104","PC105","PC106","PC107","PC108","PC109","PC110","PC111","PC112","PC113","PC114","PC115","PC116","PC117","PC118","PC119","PC120","PC121","PC122","PC123","PC124","PC125","PC126","PC127","PC128","PC129","PC130","PC131","PC132","PC133","PC134","PC135","PC136","PC137","PC138","PC139","PC140","PC141","PC142","PC143","PC144","PC145","PC146","PC147","PC148","PC149","REF","Site","Description"
"CK07",-0.249219141319199,32.282135865727,-7.57603566770308,9.61108654712407,-6.11403698168565,0.890798829988845,-0.940946824364374,8.28034690635081,-0.798373570447259,0.111049716518398,-4.43165626210609,1.57200014159155,-2.29282167879449,2.48581967339023,-2.27370964687768,3.36078825690834,-0.422324231044903,1.01030349537865,-3.90001896345166,1.54295043396252,-4.32093898113435,0.167412186377414,0.157538725110529,0.970837488867277,-1.7844921494415,4.34567721715702,0.0959801992292859,-3.40800658304634,1.45726644649678,-2.46259974210214,0.0997131634214448,-0.225554689661486,2.27907839556133,-1.04626829233409,1.51186500069623,-4.25837602650477,0.622915732407298,-2.47123674062714,1.05298809483612,-1.74493104910886,0.609574033275328,-0.614788722568829,3.44385515759023,-2.04146412044699,3.79211135505699,-0.311325689823193,-0.526376740849529,0.714400290469872,0.346429037629627,-3.33629504172861,0.911638231820465,0.625228364534404,-1.82105216587944,1.63426208300223,1.29650526521321,-0.666682929950727,-1.26897096650952,-0.895617086283369,0.981225265032018,2.0076385235658,-0.0574267223671443,-0.605793258120052,-0.0860822502438321,-0.840821609430903,1.19711749700669,0.929841532673037,-1.11971229646682,-1.30580205645597,-0.81964643063536,1.01071207516128,1.73923117889391,-1.71802609258437,-1.92759277074297,-2.56838921499134,-0.0690567944532508,1.06578626766148,0.199149280892708,0.819817148669495,1.53189053581449,-1.30867969769181,-1.13737236385859,-1.77355732276961,-0.139778643793948,2.37244621564572,0.511960076118663,1.22314159844123,0.190151420277325,-0.301706336050099,-0.68553539660655,-0.340722152619244,-0.37343081086212,-0.977935720398813,-0.779526065792642,-0.397284628427102,0.19489004409108,1.55091592382064,0.469473175522882,0.888815010192575,0.200140928306594,-1.19711532008561,-1.22020704672861,-0.998463541034813,-1.05843266147151,-0.257935613958302,0.0230797163859506,0.337644865249156,1.98956033812404,0.326512506915781,0.860360138693949,0.358922763024428,-0.395588674607856,-0.324035945316386,-1.82591092474205,-2.54625954673436,0.637305234507858,0.126443041979174,0.962373202385196,1.85283735662791,0.0584780096958703,-0.240162636779263,-0.527509271023067,-0.796001023960433,-1.80044976946436,-0.314854448909474,1.35467869427454,0.336785758005836,0.768226589789119,1.00016555563207,0.305950166025546,0.706880623497239,0.206127204043568,-0.192429326352553,-0.799459820871037,-0.585501937827836,-0.341693550575087,-0.387516352330421,-0.53451012204244,0.0995906975193704,0.315329837669146,0.370125855222699,0.306944676369719,-0.882717328986939,-0.583442020205622,0.0686103646476321,0.180455516107752,0.177434693221934,-0.857108466679046,0.0819412732301203,5.03490478476198e-14,"Control","Control","Control"
"CK08",-16.2437978196724,7.99695047287037,8.50442584648523,1.97836208113072,0.524681369424254,-0.758806713446781,4.31233050095815,4.63034465894133,1.48469163797489,4.40164717842406,3.52327904519642,-4.32295452335139,5.92173369865446,0.409994314612928,15.8047534886967,5.80461612942379,2.11158731083681,-1.3927825184179,3.55017011540353,-0.958864080838143,4.38029911956281,3.66069682392536,1.16121799655872,0.0549219640700635,-1.35508364208813,0.039791141160734,3.12904602541076,-0.922325378484749,2.23345161147595,-4.30232027493761,1.23876385189699,-2.57052048305732,-4.04057511382504,1.0085626525197,-0.90319518899092,-4.00838780467169,-3.71621534992117,-0.752733347838782,-0.497609525548677,0.0667966968855265,-1.43380471609405,3.87594654077409,3.02092489124686,3.14565745556818,6.8215601424873,0.656466965708724,-2.60082140988953,-1.34490469803503,-2.95057384059965,2.84028504175271,1.05054745853792,0.421204731082973,2.50496701902476,3.36400182078757,-3.63456185283726,-2.59831213009355,0.355339638159963,0.249008994348982,3.22757621570327,0.379962170864593,-1.53227054008413,-2.51992426746928,0.779177300043687,0.2110633824173,0.706501584788518,-0.3194900192855,-1.73894110392099,0.624328235380292,-1.48482834463321,0.294070396810498,0.719012216439756,0.902741724160732,-1.07837760048023,2.31553653383113,-1.08045744700554,-1.48599259682255,-0.474284441029489,0.527064097872849,1.03245659188666,1.28473906950208,1.23859366079997,1.71213069902036,1.45436391235528,1.64705119123577,0.909098951297744,0.13474974780163,0.997908682207175,0.787641051687735,-2.31409690101418,0.151284274330069,0.0101500635101071,-0.804658953004395,-1.35822308046624,-1.32026701426623,0.743537933526354,-0.980364024954559,0.257380084566671,-0.136325865942552,0.300299836285429,-0.152206474812901,-0.468854232832542,-0.577024827800884,-0.550652876965503,0.403487004625181,-0.336997647221667,0.544820876814612,-0.351009048798936,-0.0117910109074699,-0.82267793775206,-0.367648686672398,0.606272499813857,0.132048981557242,-0.088051665257333,0.0940630325124221,-0.745994558438333,0.420191773284107,-0.638702834312027,0.134933759888031,-0.146368630006573,0.00751521543479468,-0.0588083033233073,0.147511327094453,0.745739793438561,-0.244826660082773,-0.281737051898502,-0.251948267420914,-0.254671445348947,0.0567604411221082,0.0233420374206466,-0.454619016130168,0.0622262584032068,0.232651095833706,0.0544830989867288,-0.170468592927624,0.0168934278908022,0.0347578054246951,-0.0716962874181877,-0.0691045264664685,-0.317560880863924,-0.226756292598616,-0.219601159502494,0.237590269078445,0.0738296853704686,-0.133623942206153,-0.168981688303741,0.179978654293454,0.0978384301073061,-0.0623220018993644,5.11166629857396e-14,"Control","Control","Control"
"CK09",18.8700528356543,16.3447421850871,5.07844097004901,-17.2250756059988,10.9845887317996,-22.4838253544682,4.85762016236924,11.8158082214749,2.21592346591551,4.62197973128418,5.12528943648771,7.51702688897577,0.114240964878145,3.00894253601042,1.29200454539668,2.56897880470573,-4.16065520494421,5.73374727285425,1.54394891962685,-3.80921584026114,-1.22735299312412,1.55305649925579,-1.64288567169688,3.89799662130549,-0.597753143231117,-0.688095883885801,0.784495994318197,0.62798906889038,-1.12906251227807,-4.02249978642023,4.88071117899645,-4.08869440082317,-0.940864813165177,5.67970983026934,1.24942062208938,0.777688377792357,-0.0944580827400879,-1.7407624488282,-6.60018581512589,2.34746464274802,-0.568154237953016,1.15120172180555,2.43152770691262,-1.52956827028271,2.38896658115153,-4.17140691078424,-2.46813737148942,0.876641096209693,-0.0487354442431136,-0.336029178074893,-1.74364319698175,-1.46674431692639,-0.154620904829505,-6.73157992819504,0.487548987935469,3.69797057826976,1.83120988747421,2.55605240463671,-3.0405559571391,3.33801185758437,0.134281903764021,-1.54464932068108,0.361549430239884,1.60930860211937,3.2819291089781,1.96233513471416,1.93670560932838,2.09966369693402,-1.50175682180526,0.367353653039943,0.0566506299501488,0.62733698753055,-0.443910322000791,0.966494775520344,0.294085003218744,1.72733024987885,-0.117452676035715,0.305096740525435,-0.0740694213460018,0.702532875842476,-0.0137151056439834,-0.588465936906982,-1.16245104142329,-0.3027665446917,-0.854525361755103,0.103889520518603,-0.503218180408013,-0.750099166854983,0.486277903652662,0.258906863410481,-0.503774462532254,-0.282055627465591,1.10414916969738,-0.733377373690563,-0.141728804424077,0.0379918410311821,-0.287478265051371,0.88011172862146,-0.301959222904927,-0.329402880459688,0.272075127827735,0.149803048259172,0.160579349383667,0.0163055441059577,0.246564090067805,0.586721837123651,-0.0985714324398814,-0.310412035506014,-0.156119863317117,0.374244652292951,0.0646771381401367,0.0107610833123714,-0.0187618553269397,0.231996038570155,0.417937482008353,0.207660034766207,0.278760495112143,0.0690634836334366,-0.376589650312744,0.108394176581529,-0.22530457544366,0.225324245156854,-0.442259763337917,0.0565456702393526,-0.324708863831647,0.119558448270442,-0.650634709052157,-0.144848606875569,0.0234962558416356,-0.0589021295247494,0.179784719061982,-0.257742428939603,0.381745438205586,0.275300865273584,0.302589345814288,0.377812256869763,0.289650255889186,-0.0449861048712351,0.0388595978233927,0.25213893577377,0.244409536573846,-0.0756844328924986,0.05796408944261,0.101894295177333,-0.166730099095324,0.00837604453708635,0.0318883201790564,0.208862677411292,4.50074005842183e-14,"Control","Control","Control"
"CK10",10.5126919467657,22.3862681260051,2.29163239270219,-13.0950743911953,-1.70143090089492,-19.9707287169189,2.40233774805994,0.571474058512702,1.39017398413046,4.90745442606106,1.13181429510702,6.65718062408745,4.39944656952279,-4.69612729413184,0.374641403370788,2.05306973832793,-6.27496901710376,0.0647184460835122,-1.53929001837585,-4.39940152592851,1.91557435976741,3.40426018259612,-1.30061428217397,-4.05538705042847,-4.47092568956427,-2.06560364581909,0.961083475259976,1.83487989859356,-2.39825028824851,1.45724694741227,2.84929775072814,-0.18162317745129,0.893179314824406,0.470105723798045,-0.432814632769707,-1.12943400423837,0.781693718999922,1.16201407488432,0.546034141323085,1.31505102152436,0.912116805535261,-0.126730540745699,2.53945589906476,-1.09041530167742,-1.54321409417574,1.31235585673703,1.77591122882752,0.642786758787767,-0.94959618181444,1.31831626788153,-3.35905046161014,1.10712732973572,-3.30994007771891,1.7688304887958,-1.72271078689093,-0.480700628262239,-4.57011282859724,-0.0484472390424238,-0.727283242944815,-1.00526288803222,1.24932019985108,0.557861811264272,0.974188382346991,-2.57650069097821,0.320716890953996,0.657493802601894,-2.94824331802136,-0.961612829588122,0.874678782661042,-1.31560437775891,-0.63107497433188,-1.98742256104374,-2.64760633983707,-0.422891613176314,-0.6609062188297,-2.87981842182212,0.350819069068981,0.225873995359306,-1.42419677660956,-0.0646986631280615,-1.61415218980285,-1.45301341733552,0.483430258966056,1.47137480501316,0.00064403334485016,0.204904920823123,-0.846929897957965,-1.69134767463274,0.42793508350729,-2.1455501800625,-0.133052226992539,-0.0833762844593607,-0.572872305492139,1.11163149378538,1.02019327973827,-0.477184997510028,0.232170000245912,-1.31738469833418,0.395584033052252,0.580692034148579,0.272300456950864,0.174984490145599,0.604990637207164,0.0602318264383446,0.416795221579582,-1.35930785363902,1.26465334376296,0.773193510319863,-0.00788361347686908,-0.4541505409582,0.606669844927308,-1.02709473395903,-0.765575976482911,0.896782641548905,0.744296818617544,-0.00663867956535358,-0.148914020232941,-0.706237883377225,0.990025804564718,1.73788227000157,0.234775381134075,0.432518785797124,0.940042904411447,0.803963445202731,-0.362896696256926,0.191757456119002,-1.07675392277989,-1.00810238235402,0.721145624302843,0.446124386924696,-0.367862703749843,-0.104750463619262,-0.59799748825871,-0.542472761629129,-0.783907343299436,-0.11170059890118,-0.151437177999491,-0.334030728023351,0.634118946228516,-0.0852676552925007,0.583575872245078,1.32964669572568,0.253115252671267,-0.0289194140775743,-0.437573679905608,0.103856980555039,0.192171715016308,0.265104831646365,5.14050607636207e-14,"Control","Control","Control"
"CK11",-0.916214330454321,23.481531773898,-9.87433295301547,0.132973786515147,5.33449347388866,-2.12563187586757,1.68518225290935,7.0084091715135,6.89539028863359,-6.13679197069568,0.0978064665905722,6.12441904622048,-3.03267643958843,3.0881845149428,-2.77741415905832,4.56165950878133,0.258582065187231,-0.49916381988884,-4.13113780698212,1.1938024489482,0.166537676598472,0.732759449703489,-0.414055289148838,-2.77973586463261,-8.72797534559744,1.47671435800414,-0.581613458490439,-0.199433636960366,5.9264541791685,-1.43715839090269,2.07439362982864,-2.39657495410242,1.83592488092324,-1.03492960964029,-0.572800943625495,0.892149714165209,-1.40741173977824,-2.03434050279737,0.167317126703041,0.399521258257419,1.62011265322423,-0.955219528677173,4.99142731327437,0.777252627076364,4.67530661368217,2.73723742695544,1.39596859263346,-2.97703189338161,3.42810179576592,1.92447429633649,1.38912228268546,5.66730813554477,-1.61647663942648,2.79256381522566,3.34100527610468,-0.000593053376921337,-1.25383364316251,-1.53268678360183,-2.35753134552032,0.369220798922556,0.911937356405834,1.21838295569222,0.664086876838148,-0.190188504767193,-1.58955835331752,-0.486932355925477,-1.46186342123664,-0.729827785253828,-1.58552071765317,-0.082915590151935,-0.582923214657783,1.17202998023364,2.37580639575282,-0.0838652015423239,2.64854776131331,-1.66424421400259,-1.80308004257652,-0.919472762275089,-1.08131614515325,2.81210667342658,-0.0246711153819153,1.28670347895996,-1.55765800933342,-1.86270833296836,-0.529360093922679,-0.145375029222696,-0.25295114576318,-0.013078745322928,0.943729041953002,1.05759931663147,-0.139103701567605,0.943894361600401,0.806485384019209,0.124880593785425,-0.70536254768139,-0.0455228524907603,1.03869440481799,-0.542447700973623,0.480372701705525,0.503219086695231,0.565677586109903,1.17181446279289,1.56122247996876,-1.09352010961539,0.454920359375663,0.750242102835105,-0.265718994217794,-0.00238883914418963,0.242267778770916,0.0853932076840473,-0.147952024223918,0.539304399736625,0.674061387403571,0.346396526247142,0.268319538458326,-1.18770792280851,0.00505828497467798,-0.052964180326802,-0.679140566932444,-0.620879708061906,0.133330792409948,-0.945635531926733,0.240260763824544,-0.336035593015053,-0.73649056227208,-0.355315463837425,0.171784785618931,-0.00373013792348112,-0.420856527903292,-0.465494959160803,0.0813494702006546,-0.38065479048745,0.754630512471617,0.639703478852452,0.0249394881082721,-0.022911454759107,-0.000159548240878689,0.318541680914664,-0.244477637150467,-0.116050970598543,-0.375139854659197,-0.565704641273966,0.256399558407561,0.0359960046317348,0.368755772963699,-0.00945192186801563,0.0373175395776072,0.0914702685107574,4.91637980326587e-14,"Control","Control","Control"
"CK12",20.5796589338676,-6.96063835809797,-13.5524867393349,-3.06268142085657,1.14476837835996,-10.4896910702725,-5.23696141357708,6.80364368438575,1.16498051439055,-5.6538513548477,5.8592983990262,9.07937352856589,-1.69295929410164,-0.302385879125511,3.68235607237478,13.2280473242915,3.87773616010273,9.35326583864554,3.22090554749718,-3.02148213536151,1.08936910620055,-2.2533161730719,1.71411310283124,-3.19400719388102,0.548662244102567,-1.84308357811836,6.43455835176804,-8.48435143075629,3.57043779911159,-5.07020439766171,-1.76886173315273,-3.62589954187765,7.45955526744225,-4.42207023804889,-1.12045265122334,4.14344168651696,-1.55392061062166,-1.33431075700463,0.578025772969272,-0.56510935921137,-2.57493118963864,3.37010807999804,-4.56688744356706,0.144998756595807,-3.47854397772063,-0.463498962367195,3.98492976758862,3.41315838410904,-3.29507924027427,2.91803013287473,-0.461481048380168,-1.82253932675909,1.19388457174874,1.86142879988358,3.47491343908811,0.857365432603184,-0.947103663224297,0.168095611907314,2.48404526652435,-0.387591525969136,-0.356075188468721,1.16822002763498,-2.32258684440188,-0.378996830106723,0.665936041293321,-0.949675393440049,-0.379538957588133,-1.1040585383808,1.45554465330998,0.18336727949183,-1.00613172970517,-0.859357355857521,-0.0695856702776633,-0.55116050112637,-1.43515224403213,0.848522729391578,-0.442706335612134,-0.0528854820196058,-0.704584385638404,0.172364954258047,0.926773224267194,-0.6709785731833,0.244609558384312,-0.490263483402731,-0.160452643705585,0.2620817987399,-0.797668396328282,0.754410684309523,0.18448193572749,-0.030927800100319,0.0613293541744624,-1.20677950315365,0.132349021593288,-0.169062278866413,0.963921353975283,0.199540579233114,-0.976330878992712,-0.651651716956564,-0.296085733742824,0.240976599585434,-0.188759935910472,-0.764612900087774,-0.211693274813844,-0.463056320792985,-0.0175912557623846,0.137528434946674,-0.548105859303147,-0.375601131455412,0.0982721430211425,0.0591269321137097,0.0203495407846393,0.263508909152502,0.047089593382721,-0.0332977123661552,0.139797068941614,-0.0886709128841342,0.204485074699854,0.0378903218724309,-0.473673837708289,-0.240904621315786,-0.0790634647732265,-0.488393973440189,0.0527007297970944,-0.114291592426208,0.10775243231417,-0.0583099473704466,0.104235100352014,0.150882630008204,0.0103073058045496,-0.353316559126845,0.361294794286465,0.152902850736689,0.292529447016227,0.309638288904678,0.179568895326158,-0.0301313255242083,0.117929222574226,0.0419777126927815,0.152089495131032,-0.0546751183553754,0.0948158968463039,0.0285916704216352,-0.154786891180028,0.0372300538431345,0.0466288578278804,-0.0865706328493948,0.145943388495679,-0.058285541759162,4.53786314080773e-14,"Control","Control","Control"
"D01A1",3.95744496101438,-26.1497309717742,-5.36510088429923,6.22636242816969,-1.00251104987201,-4.88093018316446,-0.625204228137776,8.83037930964233,-2.06080049393471,1.75377137688965,6.64795233542641,4.70244762276768,-0.197979043032476,-7.11040512312635,-5.59972678412276,-2.0546590118435,-6.00940728874536,-1.02934710461184,-7.01918104960951,-3.63565819584002,5.82175446138432,1.07483063654588,-2.10268203900273,7.71187373978525,-3.81587348721195,1.75511609203506,3.72205592593229,1.18925720995231,-3.41637364191985,-3.34906327248237,-5.48694005931386,-3.27371624572181,-0.468921914947472,-0.259190334094576,3.63346898613686,-2.22817150011647,1.47693789125868,-1.61459514836889,-2.42399191317485,-2.798417371062,4.39503106926964,-2.85607750538244,3.14740928668476,2.79616921387376,-1.73828031484118,-4.15274869263919,-1.24847861893344,1.73915588341954,-4.14698582634615,1.30590553486276,1.02158153168545,-0.436363147537879,2.58041841729405,1.88186683627565,-0.727895391992214,-5.80464493027535,1.45808341078501,-1.53811203407604,-4.04934817023355,-3.71650247066786,-4.79459972026538,0.728863356769402,0.499694052319208,0.127609977285946,-0.229183004519954,-1.61558036319914,0.955911400173476,-0.0925141546360517,-0.835575910676473,1.53400679816,-1.32522823220782,-1.40987986490228,1.30839440002352,-1.81396625430572,-0.774198474033991,0.62773962889612,0.531261422213878,-0.489698844754372,1.15701426149817,-0.750019926585761,-0.503248715750606,-0.251372497529301,0.219816016078959,-0.546459322950824,0.192771211073396,0.241616404640833,-0.366170268674362,0.195737988919564,0.487067367751783,0.987034259130355,0.382347319456142,0.169195597971869,-0.10727652450037,0.171095681546606,0.182895773154096,-0.0707154946542791,0.445144357066887,-0.591913161127063,-0.115210704641867,-0.0216952937191183,0.247924639422565,0.336345578428835,-0.013037779378836,-0.257131413952484,-0.0402167433964423,-0.483602971483046,0.449264326804265,0.0846385407022318,0.338818221856994,0.39061358861074,0.0183131260069969,0.285347967087752,0.425887137951061,0.379686738192744,0.177854798529295,0.0679919874425361,0.232099440730424,0.0259057912870359,-0.322533752353078,-0.267332527359719,-0.0160683696222685,-0.418178590060384,-0.0344017212145937,0.23255975181753,-0.280531470729018,0.026891920487067,-0.170551554572492,-0.381666176311237,-0.0848773318928871,0.108985075536303,0.123753286855655,0.351468314174837,0.0241001624723538,0.0673623479576696,-0.0747852541014923,-0.271398232780501,0.125827481643846,0.14626158676464,-0.152104923601245,0.0307374586043108,-0.134965387424637,0.0294570378539544,0.167063621987646,-0.0224480835162916,-0.10388357694919,0.0238800154966419,0.0927526826601633,0.0281189456913275,4.65443655839337e-14,"1x","D01","Treatment"
"D01A2",7.32016962325515,-11.1931803206056,-12.7156905869062,14.0020952049716,44.5657495733547,-12.7144730629171,1.03748854164612,1.55845253196429,-14.8776803429773,-1.71506903426357,-12.9042634643878,-23.7431622844621,10.3892070723841,-1.94839549106926,-18.4913569726299,16.8995944296514,0.0149346599002582,-3.38218371711716,0.683099496428491,-3.75671247069161,5.44236738636852,-3.43675294918276,0.121931213575845,0.384985534147691,0.399256479208847,-1.76029615360287,-1.7477959062678,1.29406132926245,0.0798085031002601,1.00538771620585,2.73831876989045,-0.462943636601004,-0.295725558623118,-0.0046995058715211,-2.29638790984418,-1.18432110078753,0.491314611557765,0.0721061677447337,0.0465994113571717,-1.00171138674423,0.283554874235147,0.612198418790465,-0.577701561082483,-1.01540925660722,2.34869894354389,-0.484452318247338,1.1028340196018,-0.108695806378283,-1.95631572738201,0.169122373978242,-0.207405395847189,-0.312782831404688,0.190119596075191,0.0459396040103732,-0.528684240205519,0.311218957182873,0.56438788101426,0.381338957500162,0.141980497180356,-0.222684834777102,0.663068185140299,-0.0795693802852387,-0.0803601265365355,-0.156672746829172,0.102963803495748,-0.105882718223217,-0.0612664386035677,0.159108849259988,0.29593750192901,0.141183449146035,0.198486418732535,0.169494140300513,-0.0868028063087346,0.0460339411381304,0.246897602685926,-0.148998450959077,-0.125010427087109,0.216223322312803,-0.0603813305432492,-0.10217499448957,0.0352229025645291,-0.103608748998619,-0.103860233985067,-0.108068874770263,-0.0438845887290236,-0.119150903399974,0.0124559305502113,-0.0336040069165209,0.0348532082002788,-0.0732440109999281,0.187450912763881,0.119946138041361,-0.105812933053091,0.179746692760776,-0.0837305778229877,-0.109330761485897,0.121150170124662,-0.140588132906157,0.0799491895367665,-0.064833121708303,-0.0113026054776826,-0.0858540870562807,0.00310610301105979,-0.0238989774374049,0.0297358909179714,-0.0311895306254452,-0.00957314225689139,0.0182106170464364,-0.101401621261735,-0.00525640599306962,0.00410176758114731,-0.0576197577636486,-0.105855351290311,-0.0437002398967486,-0.0144467419052846,-0.0709800954434202,-0.116474044794017,0.1608979716172,-0.12521884695398,0.00559025505949287,0.029960483036828,0.114127221206472,0.0124269866723196,-0.0533646128982017,-0.0995830658681421,0.0483771180776871,0.025266551719617,-0.00622706051013808,-0.0233971154304144,-0.0860196558930639,-0.0178890913308146,0.0634085232690176,0.0514282182905663,-0.0498939768605694,0.0419299148186384,-0.0228343347316377,0.0243329553772836,-0.0695623528617683,-0.0436510789675843,-0.00155296098497339,-0.0356734892256384,-0.0478308598537135,-0.0457258105741735,0.0440024261396549,-0.0189210370912494,0.00425110188167379,-0.00326724743825242,0.0136794680939231,4.50089184672597e-14,"1x","D01","Treatment"
"D01A3",-0.666094203437905,-13.8742815735508,-3.36849951048788,-4.28310216442518,-0.334479246599796,7.89648561995531,-12.1053574561542,-2.51611157691475,4.58168673237617,-2.32560475823145,0.49531681629263,0.781184213235812,0.766331135127003,1.35723724902278,1.47939841295383,4.02000967946229,-5.26736824378092,-1.29821627207732,1.59476080881074,-2.94283437298808,-1.62092932547146,0.199266358436563,-2.04261029760651,-3.31678611735142,1.37841772768233,0.0370375661569989,2.47519355054065,0.0456339059468812,1.59425938968964,1.2927881117879,1.61376064528812,-6.11671144232947,-4.07119711909466,0.524717690195304,0.737853052920112,1.57881360139421,1.49112365959705,3.80048158642849,-0.690048741489917,1.62320163061745,0.39603615072785,0.471715668195849,-1.00737443876831,0.355307638194557,-0.458440945275554,-3.28850751483982,-3.08383191954684,0.62192850893967,-0.580666741706752,-1.00325451930807,0.202912865793634,0.188280426414482,1.96808433534747,-0.637076687246386,-2.37777296367719,-1.69404160474253,-2.26189017469039,-0.0492420639987218,3.05040414389196,-0.0441027420441269,2.78701375187555,1.82369429482437,0.254345851494335,0.125469983667013,-1.66976582155622,1.53241025141417,-2.73221320793208,1.21452614509917,0.0856294723955158,1.56444755670897,1.06108646722509,1.5124516510746,2.0752249989583,-1.10024275201053,1.35856571599282,-0.642070586973083,-1.8866421378814,0.918299773896466,-0.390054186223159,-1.4998548591066,-0.925706496500785,-1.26781388433017,-0.0145751447533247,0.470688235307276,-1.59582121474929,3.48360656028543,0.362415763627745,0.995365413691554,-0.351566939231032,0.692359914852953,-0.188296839571807,-0.908835998882058,0.161144476350662,2.05837634583303,-0.918580461730451,2.95050360586428,0.868764896237797,0.381537056949907,-0.160367352786954,-1.41810635907934,-1.35357170154788,2.36687946335295,0.595760907173003,-0.478974747339468,0.141091301024886,-1.02400299429134,-0.482195221252217,0.0145612983922977,1.18620892331648,1.40702947784372,-0.290286445284585,0.517058930559456,0.107615613962656,1.32208949608608,0.0409937433130811,1.23181942292234,-0.142766626803971,0.460896321759804,0.84754521743474,-0.174858805169318,-0.597903037110995,-0.181265858447241,-0.741003207009696,0.476105379537672,-0.344402665345328,-0.0242297320591914,0.478416045034199,-0.479949029501167,-0.553259035635217,-0.388008755962385,-0.208825745545317,-0.479975127585985,0.614216505500949,-0.018990681885797,0.785483759906679,0.538150172764396,-0.216639585900749,-0.113167439050694,-0.050139002796129,0.0756957332752506,-0.443694349131668,0.906371657579055,-0.322794473755689,-0.0760820265642798,0.62399751992071,0.481236209434134,-0.195631908698458,-0.252736824742646,4.84937610900626e-14,"1x","D01","Treatment"
"D01A4",16.5530280297354,-17.6343623044997,7.45917946170046,-14.5799629359947,2.72385485185885,-10.5294820702418,2.56745450912265,0.0453297129466034,5.97626600110629,6.24116769269455,0.729083748047985,-1.811539985471,-3.99825959667029,4.68703421718077,-5.54414890520756,-3.57028282303152,5.49343517866221,-9.30009496291452,5.19518937332637,3.59143688194717,2.39134151537096,0.493247178787748,-1.96001164739298,-0.961974941637999,-1.22304278255904,1.56744337999582,6.51392263386518,-3.23248202236401,3.28268019635118,-3.70936645394198,0.451562262086962,-1.5661204492113,1.32936125350857,0.609041068290952,0.552047391571049,0.262758421937302,1.94903837375009,-1.03165394560644,3.5448495648257,-1.22917661022187,0.0672439847713743,0.363323049178147,1.86077274137364,-3.6159053188454,-2.16357408795237,1.85360228456202,-0.336403106109579,2.60658920901856,0.179369006309001,-1.63637747824282,-0.773283732147427,2.47257317494912,-1.42514163938499,-1.82299146635364,-1.57787589574862,-3.87048042234727,1.51057986823486,-0.489022581519713,-0.660017767222662,-0.178666134728317,1.03586226100016,1.19529462459668,0.238655133139999,1.34890970840998,-1.65620905635387,2.04444822340072,3.68378867242688,-2.52822352623587,2.8295974616536,0.0118346807488388,1.86897582739025,1.79089060677816,-2.44786552037192,-0.825278746671503,0.292938651003659,0.20402534264483,1.14324008838787,2.01094814829783,-0.933704592517287,2.15979758906283,1.63366758891252,2.08453130618561,0.679746253711082,-1.75440619087224,-1.5409442948457,0.232311664703748,0.396152688613966,0.498977578830098,-0.757793541929556,-0.836062526339422,0.0857264569135278,-0.894069899643453,-1.63819950857374,-0.449673427549473,0.730927053837208,0.660038745686474,1.16803087174106,0.460250431895014,-1.09342568444977,-0.403774764481336,-0.21548005411013,0.857784667795163,-0.305849723666007,1.37458118838225,0.661439875949348,0.0480807128307503,0.139519051515767,1.43561027558955,-0.673058047823973,-0.328354414217368,0.383251142114068,-0.28943677296426,1.12769537950019,-0.280177275699777,-0.443497050579423,0.147249013195925,0.786277114905731,0.973033840227733,0.0829565231904717,0.109107999326432,-0.396775627262727,0.494411838858769,0.241995974097648,0.0660950293132,-0.452171746317045,0.284332578463904,-0.271990930086916,-0.442446941120678,-0.246059808282528,-0.0884703319776783,0.411526980352643,-0.5161951923412,-0.432784277074253,0.0651869015815595,-0.17481305281528,-0.354537391779568,-0.553869018587015,-0.126753511399955,-0.20743977121283,0.135367323789305,-0.0931591352884787,0.0926141206371153,-0.00285966674877896,-0.23977402008585,0.140315211093938,-0.332725872290557,-0.164818877084193,-0.113300652962757,4.5846573065722e-14,"1x","D01","Treatment"
