"PC","variance","pct_variance","cumulative_pct"
"PC1",242.353006827003,18.8601561733076,18.8601561733076
"PC2",199.260594498015,15.5066610504291,34.3668172237367
"PC3",96.2327829678575,7.48893252668151,41.8557497504182
"PC4",82.2509463656618,6.40085185724994,48.2566016076682
"PC5",67.0375174221553,5.21692742584865,53.4735290335168
"PC6",54.2833348167546,4.22438403243226,57.6979130659491
"PC7",39.3922673101215,3.06554609417288,60.763459160122
"PC8",32.1862517887191,2.50476667616491,63.2682258362869
"PC9",26.4217835419174,2.05616992544104,65.3243957617279
"PC10",24.4936184309663,1.90611816583395,67.2305139275619
"PC11",22.7264488401589,1.76859524047929,68.9991091680412
"PC12",21.0625487852805,1.63910885488564,70.6382180229268
"PC13",18.2285456703886,1.41856386539989,72.0567818883267
"PC14",17.0611764786062,1.32771801389931,73.384499902226
"PC15",14.6030942301425,1.13642756654805,74.5209274687741
"PC16",13.6279050366479,1.06053735693758,75.5814648257116
"PC17",13.0936730761989,1.01896288530731,76.600427711019
"PC18",11.5376686962716,0.897873050293506,77.4983007613124
"PC19",10.9612358558833,0.853014463492865,78.3513152248053
"PC20",10.0674268652014,0.783457343595438,79.1347725684008
"PC21",9.66591405860022,0.752211210786009,79.8869837791868
"PC22",8.67149733181122,0.674824695082584,80.5618084742694
"PC23",8.45903750614645,0.658290856509451,81.2200993307788
"PC24",8.07845718254618,0.628673710703982,81.8487730414828
"PC25",7.7618642328931,0.604036127073392,82.4528091685562
"PC26",7.41464813219988,0.577015418848239,83.0298245874044
"PC27",6.95237011329762,0.541040475743005,83.5708650631474
"PC28",6.75409226870808,0.525610293284675,84.0964753564321
"PC29",6.55563464610468,0.51016612031943,84.6066414767515
"PC30",5.8844801032851,0.457936194808179,85.0645776715597
"PC31",5.74534125795864,0.447108269101839,85.5116859406616
"PC32",5.70741390078523,0.444156723796515,85.9558426644581
"PC33",5.4897185962831,0.427215454963665,86.3830581194217
"PC34",5.18877686911412,0.40379586530071,86.7868539847224
"PC35",5.07783709374655,0.395162419746813,87.1820164044693
"PC36",4.87149650927727,0.379104786714184,87.5611211911834
"PC37",4.63369428946869,0.360598777390559,87.921719968574
"PC38",4.57877907646634,0.356325219958469,88.2780451885325
"PC39",4.35937170444635,0.339250716299327,88.6172959048318
"PC40",4.26668259454462,0.33203755599569,88.9493334608275
"PC41",4.10095738340561,0.319140652405106,89.2684741132326
"PC42",3.88792645201166,0.302562369806355,89.5710364830389
"PC43",3.67884186051922,0.286291195371146,89.8573276784101
"PC44",3.65930213912615,0.284770594484525,90.1420982728946
"PC45",3.50852729766576,0.273037143787219,90.4151354166818
"PC46",3.41885911699167,0.26605907525227,90.6811944919341
"PC47",3.30723225419592,0.257372159859605,90.9385666517937
"PC48",3.22588016983396,0.251041258352837,91.1896079101465
"PC49",3.16620009238071,0.246396894348694,91.4360048044952
"PC50",3.04403479271269,0.236889867137174,91.6728946716324
"PC51",2.84001019968165,0.221012466901295,91.8939071385337
"PC52",2.78521627276585,0.216748348075164,92.1106554866089
"PC53",2.69777243933512,0.209943380493005,92.3205988671019
"PC54",2.62471416719469,0.204257911843945,92.5248567789458
"PC55",2.58418711684166,0.201104055785343,92.7259608347312
"PC56",2.47453087955533,0.19257049646345,92.9185313311946
"PC57",2.44433054653787,0.190220275995165,93.1087516071898
"PC58",2.350966677915,0.182954605285214,93.291706212475
"PC59",2.28054986407461,0.177474697593355,93.4691809100683
"PC60",2.2400910854314,0.17432615450828,93.6435070645766
"PC61",2.18861774310509,0.170320446934248,93.8138275115109
"PC62",2.14445194225938,0.16688341963108,93.9807109311419
"PC63",2.09984178292503,0.163411811900781,94.1441227430427
"PC64",2.06892202945149,0.161005605404785,94.3051283484475
"PC65",1.95300792050432,0.151985052179324,94.4571134006268
"PC66",1.90894930771404,0.148556366359069,94.6056697669859
"PC67",1.85606950394897,0.144441206532993,94.7501109735189
"PC68",1.84939023416086,0.143921419000845,94.8940323925197
"PC69",1.77251515171225,0.137938922312237,95.031971314832
"PC70",1.66627542970994,0.129671239666143,95.1616425544981
"PC71",1.60841098759091,0.125168170240538,95.2868107247387
"PC72",1.58610192164342,0.123432056159021,95.4102427808977
"PC73",1.57811200327838,0.122810272628668,95.5330530535264
"PC74",1.52221425122688,0.118460253013765,95.6515133065401
"PC75",1.50894971220049,0.117427993167353,95.7689412997075
"PC76",1.4153011800708,0.110140169655315,95.8790814693628
"PC77",1.39102703137602,0.108251130846382,95.9873326002092
"PC78",1.37441477851368,0.106958348522465,96.0942909487316
"PC79",1.34398169842618,0.104590015441726,96.1988809641734
"PC80",1.32100474979619,0.102801926054178,96.3016828902275
"PC81",1.28908447422311,0.100317857916195,96.4020007481437
"PC82",1.25779986990507,0.0978832583583713,96.4998840065021
"PC83",1.2351411458758,0.0961199335311903,96.5960039400333
"PC84",1.20266403991129,0.0935925322888163,96.6895964723221
"PC85",1.17926651855164,0.0917717135059639,96.7813681858281
"PC86",1.17304710307321,0.0912877123014174,96.8726558981295
"PC87",1.14900698642862,0.0894168861033948,96.9620727842329
"PC88",1.12103161247293,0.0872398142002281,97.0493125984331
"PC89",1.10311710353919,0.0858456889913764,97.1351582874245
"PC90",1.08511178509032,0.0844444968941884,97.2196027843187
"PC91",1.05068911176803,0.0817656896317529,97.3013684739504
"PC92",1.04129378607058,0.0810345358809792,97.3824030098314
"PC93",1.01016611920227,0.0786121493542622,97.4610151591857
"PC94",1.00528818189688,0.0782325433382786,97.539247702524
"PC95",0.971594891405735,0.0756104973856603,97.6148581999096
"PC96",0.967113243025771,0.0752617309747681,97.6901199308844
"PC97",0.940212380882401,0.0731682786678911,97.7632882095523
"PC98",0.909529530912164,0.0707805082421917,97.8340687177945
"PC99",0.89388059753032,0.0695626924148108,97.9036314102093
"PC100",0.882680313098702,0.0686910749493153,97.9723224851586
"PC101",0.856135380477414,0.066625321437931,98.0389478065965
"PC102",0.844412560330554,0.06571303971444,98.104660846311
"PC103",0.828697517691019,0.0644900791977446,98.1691509255087
"PC104",0.81133558578483,0.0631389560922046,98.2322898816009
"PC105",0.791245333462545,0.0615755123317155,98.2938653939326
"PC106",0.786646862054095,0.0612176546345599,98.3550830485672
"PC107",0.772420034829015,0.060110508547005,98.4151935571142
"PC108",0.752624172479189,0.0585699745119991,98.4737635316262
"PC109",0.713086449610486,0.0554931089191039,98.5292566405453
"PC110",0.707153850147858,0.0550314280270706,98.5842880685724
"PC111",0.688294885219898,0.0535638042972683,98.6378518728696
"PC112",0.676398362933577,0.0526380048975546,98.6904898777672
"PC113",0.670560197939596,0.0521836729914082,98.7426735507586
"PC114",0.65181574550805,0.0507249607399261,98.7933985114985
