"gene","module","degree","betweenness","closeness"
"Dapma7bEVm013393","MEblue",22,0,2.01853387055856
"Dapma7bEVm013409","MEblue",23,0,2.00726246626141
"Dapma7bEVm014480","MEblue",23,0,2.02457795771495
"Dapma7bEVm014732","MEblue",29,0,2.06094125524907
"Dapma7bEVm014974","MEblue",21,0,2.03269856461332
"Dapma7bEVm015505","MEblue",21,0,2.01272376203462
"Dapma7bEVm015520","MEblue",29,0,2.05574739539669
"Dapma7bEVm015682","MEblue",21,0,1.9861565217167
"Dapma7bEVm015781","MEblue",30,0,2.06883612506386
"Dapma7bEVm015796","MEblue",32,0,2.05963734103044
"Dapma7bEVm015993","MEblue",24,0,2.03461405462915
"Dapma7bEVm016204","MEblue",21,0,2.01632981388391
"Dapma7bEVm016208","MEblue",33,0,2.0586156019222
"Dapma7bEVm016574","MEblue",20,0,2.02845294609871
"Dapma7bEVm017241","MEblue",21,0,2.04171935020778
"Dapma7bEVm017704","MEblue",21,0,2.03108716553199
"Dapma7bEVm018758","MEblue",32,0,2.05092802447213
"Dapma7bEVm018768","MEblue",28,0,2.05711934154075
"Dapma7bEVm018911","MEblue",25,0,2.03072148987067
"Dapma7bEVm018925","MEblue",25,0,2.03295645533375
"Dapma7bEVm018962","MEblue",31,0,2.04273340628083
"Dapma7bEVm018974","MEblue",20,0,1.99713795865918
"Dapma7bEVm019023","MEblue",25,0,2.04863852453157
"Dapma7bEVm019086","MEblue",24,0,2.02741112152614
"Dapma7bEVm019186","MEblue",20,0,2.01758548915021
"Dapma7bEVm019839","MEblue",20,0,2.00597955740693
"Dapma7bEVm020017","MEblue",22,0,1.98435583694324
"Dapma7bEVm020096","MEblue",22,0,2.03345477064357
"Dapma7bEVm020580","MEblue",24,0,2.03322231098731
"Dapma7bEVm020797","MEblue",33,0,2.05138345231923
"Dapma7bEVm020818","MEblue",30,0,2.07159734029313
"Dapma7bEVm021656","MEblue",21,0,1.98954515230491
"Dapma7bEVm021992","MEblue",27,0,2.069601256694
"Dapma7bEVm022364","MEblue",21,0,2.02488933836569
"Dapma7bEVm022421","MEblue",24,0,2.02197353450351
"Dapma7bEVm022916","MEblue",33,0,2.04573931630014
"Dapma7bEVm023386","MEblue",27,0,2.05324976496151
"Dapma7bEVm023616","MEblue",23,0,2.03666469709243
"Dapma7bEVm023655","MEblue",23,0,2.04179778171906
"Dapma7bEVm023772","MEblue",22,0,2.00581227437291
"Dapma7bEVm023928","MEblue",28,0,2.02787788962475
"Dapma7bEVm024115","MEblue",20,0,2.01997194603897
"Dapma7bEVm024158","MEblue",22,0,2.03228189544494
"Dapma7bEVm024325","MEblue",20,0,2.02232792157611
"Dapma7bEVm024518","MEblue",23,0,2.01494447198686
"Dapma7bEVm025139","MEblue",24,0,2.02988837508141
"Dapma7bEVm025163","MEblue",23,0,2.00866626286091
"Dapma7bEVm025445","MEblue",32,0,2.06500453460908
"Dapma7bEVm025469","MEblue",22,0,2.00275060787029
"Dapma7bEVm025493","MEblue",21,0,2.007781133701
"Dapma7bEVm025828","MEblue",23,0,2.02682966582984
"Dapma7bEVm025892","MEblue",22,0,2.02842385618261
"Dapma7bEVm026112","MEblue",30,0,2.04219741445635
"Dapma7bEVm026251","MEblue",20,0,2.02495151467799
"Dapma7bEVm026591","MEblue",28,0,2.05111562003412
"Dapma7bEVm026646","MEblue",25,0,2.01362623111175
"Dapma7bEVm027668","MEblue",27,0,2.05471852606536
"Dapma7bEVm027731","MEblue",20,0,2.03579467959477
"Dapma7bEVm027863","MEblue",28,0,2.02868652575626
"Dapma7bEVm028135","MEblue",26,0,2.04749229288298
"Dapma7bEVm029047","MEblue",23,0,2.01732600134116
"Dapma7bEVm029282","MEblue",35,0,2.06050968245296
"Dapma7bEVm029397","MEblue",27,0,2.0373771435388
"Dapma7bEVm029409","MEblue",22,0,2.01985565285203
"Dapma7bEVm029439","MEblue",23,0,2.04116379391263
"Dapma7bEVm030095","MEblue",22,0,2.02860634632241
"Dapma7bEVm030257","MEblue",20,0,2.00237295903469
"Dapma7bEVm030488","MEblue",21,0,2.03798635481714
"Dapma7bEVm026257","MEbrown",865,0.00321430092125778,3.04463219334694
"Dapma7bEVm027498","MEbrown",747,0.002054990395449,2.83694685882776
"Dapma7bEVm013004","MEbrown",734,0.00162013570486171,2.84126044646412
"Dapma7bEVm029536","MEbrown",882,0.00159386323397206,3.06981588167464
"Dapma7bEVm025840","MEbrown",837,0.00153044692492808,2.91694419360474
"Dapma7bEVm030484","MEbrown",685,0.00146672863346008,2.74048278792902
"Dapma7bEVm016933","MEbrown",619,0.00136496055656569,2.67792679618586
"Dapma7bEVm027936","MEbrown",618,0.00136314866202157,2.60137182247984
"Dapma7bEVm018857","MEbrown",808,0.0012233307997008,2.93756687019509
"Dapma7bEVm013172","MEbrown",781,0.00121457330940425,2.90319308226385
"Dapma7bEVm023977","MEbrown",786,0.0010608642555786,2.91054856937594
"Dapma7bEVm015840","MEbrown",894,0.00100741336652724,3.05227700623518
"Dapma7bEVm007192","MEbrown",893,0.000951244635659715,3.04778457968326
"Dapma7bEVm019838","MEbrown",761,0.000926482076890161,2.86277248214648
"Dapma7bEVm028718","MEbrown",736,0.000915610709625478,2.83823659101987
"Dapma7bEVm013518","MEbrown",672,0.000875749029654976,2.70138012953592
"Dapma7bEVm020253","MEbrown",686,0.000872729205414786,2.71764615648089
"Dapma7bEVm029293","MEbrown",578,0.000865481627238331,2.65309555182219
"Dapma7bEVm025007","MEbrown",551,0.000813238667883052,2.52202161771328
"Dapma7bEVm016194","MEbrown",875,0.000799045493954161,3.01529378053565
"Dapma7bEVm025018","MEbrown",633,0.000793005845473782,2.63702928305434
"Dapma7bEVm010736","MEbrown",712,0.000788174126689478,2.77152711777212
"Dapma7bEVm003423","MEbrown",792,0.000747708481870938,2.87085207375294
"Dapma7bEVm013498","MEbrown",691,0.000734723237638123,2.79660088585446
"Dapma7bEVm012305","MEbrown",871,0.000722945923101384,3.04920566110257
"Dapma7bEVm013451","MEbrown",742,0.000714792397652872,2.84731648361711
"Dapma7bEVm027487","MEbrown",824,0.000714490415228853,2.97357872636948
"Dapma7bEVm027024","MEbrown",773,0.000684896137674995,2.88823271985799
"Dapma7bEVm015542","MEbrown",792,0.000678856489194616,2.89260734968129
"Dapma7bEVm022023","MEbrown",876,0.000669193051626009,3.03171146780547
"Dapma7bEVm018527","MEbrown",583,0.000623895688023166,2.62040558788331
"Dapma7bEVm014200","MEbrown",580,0.000606984672278104,2.64859720545862
"Dapma7bEVm014823","MEbrown",649,0.000587657797140891,2.7220746647088
"Dapma7bEVm023273","MEbrown",706,0.00058222211350855,2.75176427212339
"Dapma7bEVm022278","MEbrown",882,0.000573162640787981,3.05925557400006
"Dapma7bEVm023551","MEbrown",612,0.000564103168067412,2.68444070191781
"Dapma7bEVm013207","MEbrown",653,0.000563801185643393,2.75342661342662
"Dapma7bEVm025870","MEbrown",750,0.000551419906258616,2.84326130827776
"Dapma7bEVm012059","MEbrown",745,0.000544172328082161,2.87364246193089
"Dapma7bEVm009519","MEbrown",793,0.000539944574145896,2.90920298777028
"Dapma7bEVm026532","MEbrown",587,0.000531791048697384,2.66185389520659
"Dapma7bEVm015600","MEbrown",831,0.000518201839616531,2.94996643528826
"Dapma7bEVm021442","MEbrown",543,0.000516993909920455,2.61464234164545
"Dapma7bEVm029553","MEbrown",647,0.000503404700839602,2.66433276959191
"Dapma7bEVm015740","MEbrown",692,0.000500082894175393,2.77900417415082
"Dapma7bEVm023846","MEbrown",850,0.00048951350933473,3.00244062017987
"Dapma7bEVm009499","MEbrown",594,0.000482869896006313,2.67301660914181
