"gene","module"
"Dapma7bEVm005313","tan"
"Dapma7bEVm005338","tan"
"Dapma7bEVm005394","tan"
"Dapma7bEVm005456","tan"
"Dapma7bEVm005518","tan"
"Dapma7bEVm005531","tan"
"Dapma7bEVm005534","tan"
"Dapma7bEVm005565","tan"
"Dapma7bEVm005798","tan"
"Dapma7bEVm005838","tan"
"Dapma7bEVm005872","tan"
"Dapma7bEVm005929","tan"
"Dapma7bEVm005933","tan"
"Dapma7bEVm005961","tan"
"Dapma7bEVm005997","tan"
"Dapma7bEVm006063","tan"
"Dapma7bEVm006149","tan"
"Dapma7bEVm006195","tan"
"Dapma7bEVm006218","tan"
"Dapma7bEVm006317","tan"
"Dapma7bEVm006348","tan"
"Dapma7bEVm006370","tan"
"Dapma7bEVm006420","tan"
"Dapma7bEVm006442","tan"
"Dapma7bEVm006463","tan"
"Dapma7bEVm006488","tan"
"Dapma7bEVm006555","tan"
"Dapma7bEVm006617","tan"
"Dapma7bEVm006768","tan"
"Dapma7bEVm006854","tan"
"Dapma7bEVm006983","tan"
"Dapma7bEVm007238","tan"
"Dapma7bEVm007244","tan"
"Dapma7bEVm007262","tan"
"Dapma7bEVm007280","tan"
"Dapma7bEVm007415","tan"
"Dapma7bEVm007463","tan"
"Dapma7bEVm007475","tan"
"Dapma7bEVm007634","tan"
"Dapma7bEVm007838","tan"
"Dapma7bEVm007845","tan"
"Dapma7bEVm007917","tan"
"Dapma7bEVm007968","tan"
"Dapma7bEVm008035","tan"
"Dapma7bEVm008091","tan"
"Dapma7bEVm008097","tan"
"Dapma7bEVm008251","tan"
"Dapma7bEVm008353","tan"
"Dapma7bEVm008559","tan"
"Dapma7bEVm009251","tan"
"Dapma7bEVm009340","tan"
"Dapma7bEVm009512","tan"
"Dapma7bEVm009531","tan"
"Dapma7bEVm009532","tan"
"Dapma7bEVm009551","tan"
"Dapma7bEVm009578","tan"
"Dapma7bEVm009579","tan"
"Dapma7bEVm009609","tan"
"Dapma7bEVm009620","tan"
"Dapma7bEVm009670","tan"
"Dapma7bEVm009676","tan"
"Dapma7bEVm009677","tan"
"Dapma7bEVm009686","tan"
"Dapma7bEVm009691","tan"
"Dapma7bEVm009692","tan"
"Dapma7bEVm009722","tan"
"Dapma7bEVm009750","tan"
"Dapma7bEVm009868","tan"
"Dapma7bEVm009908","tan"
"Dapma7bEVm009948","tan"
"Dapma7bEVm009962","tan"
"Dapma7bEVm010003","tan"
"Dapma7bEVm010029","tan"
"Dapma7bEVm010036","tan"
"Dapma7bEVm010075","tan"
"Dapma7bEVm010095","tan"
"Dapma7bEVm010152","tan"
"Dapma7bEVm010162","tan"
"Dapma7bEVm010166","tan"
"Dapma7bEVm010181","tan"
"Dapma7bEVm010270","tan"
"Dapma7bEVm010292","tan"
"Dapma7bEVm010389","tan"
"Dapma7bEVm010420","tan"
"Dapma7bEVm010483","tan"
"Dapma7bEVm010488","tan"
"Dapma7bEVm010496","tan"
"Dapma7bEVm010499","tan"
"Dapma7bEVm010530","tan"
"Dapma7bEVm010546","tan"
"Dapma7bEVm010576","tan"
"Dapma7bEVm010599","tan"
"Dapma7bEVm010675","tan"
"Dapma7bEVm010684","tan"
"Dapma7bEVm010688","tan"
"Dapma7bEVm010786","tan"
