"","MEblue","MEdarkturquoise","MEdarkgrey","MEblack","MEtan","MEyellow","MEbrown","MEcyan","MEpink","MEroyalblue","MEorange","MEturquoise","MEdarkred","MEgreenyellow","MEgreen","MEmidnightblue","MEdarkgreen","MEsalmon"
"CK07",0.0426974651714465,-0.00589814260720064,-0.0065419893098602,-0.0249103812245072,-0.000261534612648715,0.10453477354,-0.00735187108970093,0.0265292988552576,-0.0548063793938071,0.0464528523273648,-0.0426980775783376,-0.0388393110850857,-0.0560781307678932,-0.0364352594558281,0.0206712853951685,0.0193832136643431,0.0182158025771391,0.000669329439997501
"CK08",-0.0153068101244757,-0.0894421619617201,0.226389712167134,0.304036167679712,0.0225277941135906,-0.030567050298133,-0.0558239890770731,-0.204237219065566,-0.108675414694803,-0.071380354186126,0.121708656820188,-0.045925723332881,-0.0640281039414109,0.0127975468997651,0.0696401079357807,0.136785860623922,0.149425871690305,0.169373390319465
"CK09",-0.130414916620339,-0.0500436146388898,-0.0188688884199648,-0.00923120148605738,-0.0453564216300723,0.0360450689730265,0.0475708282821813,0.00911044170922515,-0.0157005987489674,0.020114285618084,0.0657174093356205,0.192888044610413,0.0158273360371695,-0.066423769344746,0.0574820280056901,0.0704050265963693,-0.0385200774962309,0.0216452466035479
"CK10",-0.00875171506418185,0.223664397368923,-0.00744791616473755,0.0837990900599866,-0.0212224783821212,0.15556144486303,-0.00644071584114725,-0.0698235671157312,-0.0421426040209281,-0.0195792568799179,0.00479202537471699,-0.01477937347901,-0.0950480899698417,-0.0798312462625709,0.0493227032200622,0.102454670084398,0.0650194550173055,0.0640449533469919
"CK11",0.024818963218327,0.0216285410267893,-0.0620419791182302,0.0813515737524984,-0.0145735722262267,0.0825360361898303,-0.0278554158262043,-0.0220326906038019,-0.0907153610928316,-0.0615146843560975,-0.0131584408697871,-0.0380267680585731,0.0110696227599105,0.103647030938915,0.0247208829102517,0.0600595922710766,0.0414057086240798,0.0982920413816061
"CK12",-0.16823756598041,-0.0536039734097077,0.100275068816255,-0.102446653749478,0.00477265686576302,0.0757493139133829,0.055774542574613,0.207573472188951,-0.144890113607065,0.0200712067443617,0.0200569144038138,0.176513106788794,-0.0314457656014099,0.0825587684311863,0.0325161831979343,0.0547417544358551,0.106064045947055,-0.0033984416306449
"D01A1",0.0069894003312232,-0.0749049168514092,0.0221336613937007,-0.0509312534123045,-0.159654550508675,-0.0514533182346736,-0.0143992329820892,0.0364444425935661,-0.0523374345155659,-0.0149256982702749,0.0137131238086394,-0.0407998527428178,-0.16129985147686,-0.052491970772949,0.0846954826961863,0.0391291813370543,0.0032319946319784,0.153739248215134
"D01A2",0.0138711444350823,-0.0771547201359069,0.0316541119250828,0.0413275775640036,0.0570064817341031,-0.0944540893895173,-0.0268101999186838,-0.0999130492762421,0.0787841354561883,-0.0096853209564728,-0.00926383535623916,-0.0377646035536746,0.13659947745629,0.0216659319306721,0.0193730546680366,0.00399163036164991,-0.0171908837260465,-0.021728373538132
"D01A3",0.00793780550841052,-0.0691755260990045,0.0470686704360278,0.135834441492209,0.0162191972408319,-0.0105014837797403,-0.0401024509560034,-0.151317278908965,-0.0485576658453821,-0.0678391457938896,0.0293095294384516,-0.0391606813482683,0.0647837659191377,0.0216693618794947,0.0423140775490305,0.0234464628464736,0.0961247341323504,0.0773652757892055
"D01A4",-0.125589650915019,-0.0558991046333163,-0.194012555430597,-0.0637537249392396,-0.146539555002461,-0.10427542644272,-0.0103730805839507,-0.0522356180466933,0.147191651600149,-0.0241310912166513,0.0383417780146113,0.203591072480016,-0.0930424052150084,0.0649024118766625,0.230843338241536,0.0474877622378633,-0.0761674125281668,-0.150723328729036
"D01A5",0.0331528581765603,0.0252973032215607,-0.0432963150441534,-0.110722975875757,-0.131362821589205,-0.0906581671769521,0.0077915300378351,-0.0822423221334236,0.155072647249746,0.0551752059174204,-0.00756455811345315,-0.0262293856619214,-0.0242651974095328,0.04554250434358,0.026256909143904,0.0503758997902322,0.0347892225791944,0.0579604198063886
"D01A6",-0.118878154107019,-0.0796067274960875,-0.107028444588821,0.0414883612720143,-0.0074221504191963,0.0155356783110144,0.0129625959820534,-0.0120319371624436,-0.0583176117957174,-0.0484492013862703,0.121908273725267,0.179784552112971,0.0292470487280742,0.0604279061433811,0.0273862884881094,0.00755097213634384,0.0470288953689845,0.0649078920300248
