"","ChemName","CAS","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12"
"1","Bentazone","25057-89-0",1.5,1.3,1.2,1.1,1.3,1.4,1.6,1.7,1.4,2.5,1.7,2.8
"2","Metformin","657-24-9",161.3,247.8,161.6,236.4,359.9,203.8,394.1,73.1,192.2,415.8,70.9,884
"3","Metolachlor ESA","171118-09-5",9.2,6.8,4.2,0,6.6,5.1,3.1,6.4,4.8,4.9,0,5.6
"4","Phenylbenzimidazole sulfonic acid","27503-81-7",22.2,17.3,12.6,5.4,14,11.5,10.8,19.9,12.3,12.3,0,15.8
"5","Sulfamethoxazole","723-46-6",5.8,5.3,2.3,4.4,4.8,1.9,5,6.5,4.7,9.4,1.9,9.2
