"","CK07","CK08","CK09","CK10","CK11","CK12","D01A1","D01A2","D01A3","D01A4","D01A5","D01A6","D02A1","D02A2","D02A3","D02A4","D02A5","D02A6","D03A1","D03A2","D03A3","D03A4","D03A5","D03A6","D04A1","D04A2","D04A3","D04A4","D04A5","D04A6","D05A1","D05A2","D05A3","D05A4","D05A5","D05A6","D06A1","D06A2","D06A3","D06A4","D06A5","D06A6","D07A1","D07A2","D07A3","D07A4","D07A5","D07A6","D08A1","D08A2","D08A3","D08A4","D08A5","D08A6","D09A1","D09A2","D09A3","D09A4","D09A5","D09A6","D10A1","D10A2","D10A3","D10A4","D10A5","D10A6","D11A1","D11A2","D11A3","D11A4","D11A5","D11A6","D12A1","D12A2","D12A3","D12A4","D12A5","D12A6","D01B1","D01B2","D01B3","D01B4","D01B5","D01B6","D02B1","D02B2","D02B3","D02B4","D02B5","D02B6","D03B1","D03B2","D03B3","D03B4","D03B5","D03B6","D04B1","D04B2","D04B3","D04B4","D04B5","D04B6","D05B1","D05B2","D05B3","D05B4","D05B5","D05B6","D06B1","D06B2","D06B3","D06B4","D06B5","D06B6","D07B1","D07B2","D07B3","D07B4","D07B5","D07B6","D08B1","D08B2","D08B3","D08B4","D08B5","D08B6","D09B1","D09B2","D09B3","D09B4","D09B5","D09B6","D10B1","D10B2","D10B3","D10B4","D10B5","D10B6","D11B1","D11B2","D11B3","D11B4","D11B5","D11B6","D12B1","D12B2","D12B3","D12B4","D12B5","D12B6"
"34123-59-6",0,0,0,0,0,0,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5
"93-65-2",0,0,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,1.5,1.5,1.5,1.5,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,0,0,0,0,0,0,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0,0,0,0,0,0,1.2,1.2,1.2,1.2,1.2,1.2,2.1,2.1,2.1,2.1,2.1,2.1,1.5,1.5,1.5,1.5,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,0,0,0,0,0,0,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0,0,0,0,0,0,1.2,1.2,1.2,1.2,1.2,1.2
"657-24-9",0,0,0,0,0,0,161.3,161.3,161.3,161.3,161.3,161.3,247.8,247.8,247.8,247.8,247.8,247.8,161.6,161.6,161.6,161.6,161.6,161.6,236.4,236.4,236.4,236.4,236.4,236.4,359.9,359.9,359.9,359.9,359.9,359.9,203.8,203.8,203.8,203.8,203.8,203.8,394.1,394.1,394.1,394.1,394.1,394.1,73.1,73.1,73.1,73.1,73.1,73.1,192.2,192.2,192.2,192.2,192.2,192.2,415.8,415.8,415.8,415.8,415.8,415.8,70.9,70.9,70.9,70.9,70.9,70.9,884,884,884,884,884,884,161.3,161.3,161.3,161.3,161.3,161.3,247.8,247.8,247.8,247.8,247.8,247.8,161.6,161.6,161.6,161.6,161.6,161.6,236.4,236.4,236.4,236.4,236.4,236.4,359.9,359.9,359.9,359.9,359.9,359.9,203.8,203.8,203.8,203.8,203.8,203.8,394.1,394.1,394.1,394.1,394.1,394.1,73.1,73.1,73.1,73.1,73.1,73.1,192.2,192.2,192.2,192.2,192.2,192.2,415.8,415.8,415.8,415.8,415.8,415.8,70.9,70.9,70.9,70.9,70.9,70.9,884,884,884,884,884,884
"51218-45-2",0,0,0,0,0,0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,0,0,0,0,0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,0,0,0,0,0,0,1.2,1.2,1.2,1.2,1.2,1.2
"171118-09-5",0,0,0,0,0,0,9.2,9.2,9.2,9.2,9.2,9.2,6.8,6.8,6.8,6.8,6.8,6.8,4.2,4.2,4.2,4.2,4.2,4.2,0,0,0,0,0,0,6.6,6.6,6.6,6.6,6.6,6.6,5.1,5.1,5.1,5.1,5.1,5.1,3.1,3.1,3.1,3.1,3.1,3.1,6.4,6.4,6.4,6.4,6.4,6.4,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.9,4.9,0,0,0,0,0,0,5.6,5.6,5.6,5.6,5.6,5.6,9.2,9.2,9.2,9.2,9.2,9.2,6.8,6.8,6.8,6.8,6.8,6.8,4.2,4.2,4.2,4.2,4.2,4.2,0,0,0,0,0,0,6.6,6.6,6.6,6.6,6.6,6.6,5.1,5.1,5.1,5.1,5.1,5.1,3.1,3.1,3.1,3.1,3.1,3.1,6.4,6.4,6.4,6.4,6.4,6.4,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.9,4.9,0,0,0,0,0,0,5.6,5.6,5.6,5.6,5.6,5.6
"37350-58-6",0,0,0,0,0,0,6.8,6.8,6.8,6.8,6.8,6.8,4.9,4.9,4.9,4.9,4.9,4.9,2.9,2.9,2.9,2.9,2.9,2.9,1.2,1.2,1.2,1.2,1.2,1.2,3.9,3.9,3.9,3.9,3.9,3.9,3.1,3.1,3.1,3.1,3.1,3.1,1.2,1.2,1.2,1.2,1.2,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.1,1.1,1.1,1.1,1.1,1.1,7.5,7.5,7.5,7.5,7.5,7.5,0,0,0,0,0,0,3.4,3.4,3.4,3.4,3.4,3.4,6.8,6.8,6.8,6.8,6.8,6.8,4.9,4.9,4.9,4.9,4.9,4.9,2.9,2.9,2.9,2.9,2.9,2.9,1.2,1.2,1.2,1.2,1.2,1.2,3.9,3.9,3.9,3.9,3.9,3.9,3.1,3.1,3.1,3.1,3.1,3.1,1.2,1.2,1.2,1.2,1.2,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.1,1.1,1.1,1.1,1.1,1.1,7.5,7.5,7.5,7.5,7.5,7.5,0,0,0,0,0,0,3.4,3.4,3.4,3.4,3.4,3.4
"83-15-8",0,0,0,0,0,0,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,30.3,30.3,30.3,30.3,30.3,30.3,26.9,26.9,26.9,26.9,26.9,26.9,45.8,45.8,45.8,45.8,45.8,45.8,46,46,46,46,46,46,34.1,34.1,34.1,34.1,34.1,34.1,61,61,61,61,61,61,39.9,39.9,39.9,39.9,39.9,39.9,70.8,70.8,70.8,70.8,70.8,70.8,0,0,0,0,0,0,57.2,57.2,57.2,57.2,57.2,57.2,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,30.3,30.3,30.3,30.3,30.3,30.3,26.9,26.9,26.9,26.9,26.9,26.9,45.8,45.8,45.8,45.8,45.8,45.8,46,46,46,46,46,46,34.1,34.1,34.1,34.1,34.1,34.1,61,61,61,61,61,61,39.9,39.9,39.9,39.9,39.9,39.9,70.8,70.8,70.8,70.8,70.8,70.8,0,0,0,0,0,0,57.2,57.2,57.2,57.2,57.2,57.2
"1672-58-8",0,0,0,0,0,0,30.1,30.1,30.1,30.1,30.1,30.1,29,29,29,29,29,29,17.5,17.5,17.5,17.5,17.5,17.5,8.2,8.2,8.2,8.2,8.2,8.2,29.2,29.2,29.2,29.2,29.2,29.2,26.2,26.2,26.2,26.2,26.2,26.2,22.5,22.5,22.5,22.5,22.5,22.5,37.3,37.3,37.3,37.3,37.3,37.3,25.5,25.5,25.5,25.5,25.5,25.5,34.3,34.3,34.3,34.3,34.3,34.3,0,0,0,0,0,0,38.1,38.1,38.1,38.1,38.1,38.1,30.1,30.1,30.1,30.1,30.1,30.1,29,29,29,29,29,29,17.5,17.5,17.5,17.5,17.5,17.5,8.2,8.2,8.2,8.2,8.2,8.2,29.2,29.2,29.2,29.2,29.2,29.2,26.2,26.2,26.2,26.2,26.2,26.2,22.5,22.5,22.5,22.5,22.5,22.5,37.3,37.3,37.3,37.3,37.3,37.3,25.5,25.5,25.5,25.5,25.5,25.5,34.3,34.3,34.3,34.3,34.3,34.3,0,0,0,0,0,0,38.1,38.1,38.1,38.1,38.1,38.1
"604-75-1",0,0,0,0,0,0,4.4,4.4,4.4,4.4,4.4,4.4,5.3,5.3,5.3,5.3,5.3,5.3,3.4,3.4,3.4,3.4,3.4,3.4,2.5,2.5,2.5,2.5,2.5,2.5,2.7,2.7,2.7,2.7,2.7,2.7,3.9,3.9,3.9,3.9,3.9,3.9,2.2,2.2,2.2,2.2,2.2,2.2,3.3,3.3,3.3,3.3,3.3,3.3,2.5,2.5,2.5,2.5,2.5,2.5,2.9,2.9,2.9,2.9,2.9,2.9,0,0,0,0,0,0,0,0,0,0,0,0,4.4,4.4,4.4,4.4,4.4,4.4,5.3,5.3,5.3,5.3,5.3,5.3,3.4,3.4,3.4,3.4,3.4,3.4,2.5,2.5,2.5,2.5,2.5,2.5,2.7,2.7,2.7,2.7,2.7,2.7,3.9,3.9,3.9,3.9,3.9,3.9,2.2,2.2,2.2,2.2,2.2,2.2,3.3,3.3,3.3,3.3,3.3,3.3,2.5,2.5,2.5,2.5,2.5,2.5,2.9,2.9,2.9,2.9,2.9,2.9,0,0,0,0,0,0,0,0,0,0,0,0
"70-55-3",0,0,0,0,0,0,32.2,32.2,32.2,32.2,32.2,32.2,35.4,35.4,35.4,35.4,35.4,35.4,24.5,24.5,24.5,24.5,24.5,24.5,9.7,9.7,9.7,9.7,9.7,9.7,39.5,39.5,39.5,39.5,39.5,39.5,47.9,47.9,47.9,47.9,47.9,47.9,35.1,35.1,35.1,35.1,35.1,35.1,38.4,38.4,38.4,38.4,38.4,38.4,25.5,25.5,25.5,25.5,25.5,25.5,55.7,55.7,55.7,55.7,55.7,55.7,0,0,0,0,0,0,45.9,45.9,45.9,45.9,45.9,45.9,32.2,32.2,32.2,32.2,32.2,32.2,35.4,35.4,35.4,35.4,35.4,35.4,24.5,24.5,24.5,24.5,24.5,24.5,9.7,9.7,9.7,9.7,9.7,9.7,39.5,39.5,39.5,39.5,39.5,39.5,47.9,47.9,47.9,47.9,47.9,47.9,35.1,35.1,35.1,35.1,35.1,35.1,38.4,38.4,38.4,38.4,38.4,38.4,25.5,25.5,25.5,25.5,25.5,25.5,55.7,55.7,55.7,55.7,55.7,55.7,0,0,0,0,0,0,45.9,45.9,45.9,45.9,45.9,45.9
