,mz,CK07,CK08,CK09,CK10,CK11,CK12,D01A1,D01A2,D01A3,D01A4,D01A5,D01A6,D01B1,D01B2,D01B3,D01B4,D01B5,D01B6,D02A1,D02A2,D02A3,D02A4,D02A5,D02A6,D02B1,D02B2,D02B3,D02B4,D02B5,D02B6,D03A1,D03A2,D03A3,D03A4,D03A5,D03A6,D03B1,D03B2,D03B3,D03B4,D03B5,D03B6,D04A1,D04A2,D04A3,D04A4,D04A5,D04A6,D04B1,D04B2,D04B3,D04B4,D04B5,D04B6,D05A1,D05A2,D05A3,D05A4,D05A5,D05A6,D05B1,D05B2,D05B3,D05B4,D05B5,D05B6,D06A1,D06A3,D06A4,D06A5,D06A6,D06B1,D06B2,D06B4,D06B5,D06B6,D07A1,D07A2,D07A4,D07A5,D07A6,D07B1,D07B2,D07B3,D07B4,D07B5,D07B6,D08A1,D08A2,D08A3,D08A4,D08A5,D08A6,D08B2,D08B3,D08B4,D08B5,D08B6,D09A1,D09A2,D09A3,D09A4,D09A5,D09A6,D09B1,D09B2,D09B3,D09B4,D09B5,D09B6,D10A1,D10A2,D10A3,D10A4,D10A5,D10A6,D10B1,D10B2,D10B3,D10B5,D10B6,D11A1,D11A2,D11A3,D11A4,D11A5,D11A6,D11B1,D11B2,D11B3,D11B4,D11B5,D11B6,D12A1,D12A2,D12A3,D12A4,D12A5,D12A6,D12B1,D12B2,D12B3,D12B4,D12B5,D12B6
277_0901142,277.0901142,9.312473533,9.515951593,10.32845648,9.456427379,8.207055391,8.55879746,9.038125327,9.726437871,9.434684243,9.275848301,9.615549941,8.895865143,8.16003132,9.14164968,9.555570043,9.315547971,8.355696178,9.180348037,8.828553453,9.226213644,9.661037841,9.077135525,9.209655006,9.328587448,8.824462772,8.880786216,8.966418734,8.56004635,8.989199365,8.949399378,9.078491794,9.350822938,8.542547203,9.411975874,9.279458123,8.928974754,9.151245792,8.778597473,9.557306758,9.498164515,8.795574052,8.657763152,9.119026672,9.379283259,9.026138839,8.811810763,9.514643624,9.371309159,9.108562053,9.637987399,9.402613861,9.183801541,8.959663312,8.985388722,9.404133313,8.781487641,9.627782573,9.73793299,9.528917567,8.853614877,9.567113599,10.3249508,9.222580068,9.479744045,9.026321181,8.345053712,9.803754907,9.199397789,9.070311126,8.829007243,9.656001298,9.33130656,9.578647054,9.396569917,9.274750763,9.218853299,9.291868153,9.193120637,9.134155597,8.907395498,9.228474855,8.290212408,9.937592779,8.869992189,8.853517937,8.91431421,8.165632839,8.993416541,8.967357289,9.542756255,9.142172383,8.161888318,8.987130541,8.370699163,9.16132888,8.429086503,9.042819,8.18913158,9.614878142,9.232779308,9.292579738,8.544370916,8.634235615,8.680582985,10.00749326,9.791884059,9.173302461,9.080905192,8.865944821,9.168860384,9.608454624,9.859736755,9.64960118,9.090071118,8.244164825,8.855086451,9.836478649,9.039528291,8.30527681,8.471722036,9.233406019,8.447005242,9.156202545,8.747988893,8.758371712,9.023014949,9.336656985,9.397286468,9.071628122,8.782296604,8.351282505,8.671880615,9.992036226,9.175935442,9.24717114,9.851284881,9.090364859,8.728635115,9.021435571,10.47193316,8.940033143,9.779378502,9.162479523,8.717427904,9.003925053
277_0922419,277.0922419,9.534696861,9.159780251,9.325335038,9.306893433,9.558316342,9.41521906,9.238333006,9.072035706,8.780790026,9.130946756,9.688461164,9.08507252,9.715801431,9.585636256,9.320814784,9.169324554,9.533285079,9.35837816,9.151019893,9.014888816,9.196213874,9.019068155,9.459059899,9.223131799,9.710749225,9.837324356,9.139642713,9.636244753,9.692289769,9.388134205,9.456222282,9.242004513,8.88787996,9.215845913,9.141230555,9.130375819,9.327368783,9.633036894,9.821263883,9.186348051,9.249801561,9.190787005,9.074954283,9.404154365,9.239778102,9.344256184,9.412957994,8.973374756,9.324318485,9.3038382,8.990897207,9.509205267,9.200283256,9.448965389,8.898831232,8.918359265,9.153309978,8.8115036,8.926418319,9.430215758,9.40037438,8.914080206,9.167366304,9.403005325,9.712977065,9.173519402,8.903241704,9.148004249,8.599462445,8.935221407,8.870946074,9.154416176,9.381886992,9.293296018,9.188034673,9.243215073,8.934515921,9.125187744,9.285804649,8.903762629,9.482106017,9.171606367,9.123736517,9.300463501,9.334864692,9.237129276,9.063152269,9.115404241,8.938932303,9.458067451,9.027366221,9.166505003,9.428131674,9.372465991,9.361185613,8.809859621,9.70721943,9.357530804,8.981443304,9.16188465,9.491360693,9.161245592,9.06552367,9.471131216,8.944387647,8.92879746,9.068979069,9.083871792,9.072038736,9.143140152,8.92900633,9.178722887,9.481726385,8.945047044,9.327377629,9.377834605,9.397048927,9.793198226,9.219471756,9.813364726,9.01282499,9.173687594,8.81230125,8.74517233,9.079895907,8.991603163,9.033046279,9.424150669,9.281463572,9.187298969,9.379479294,9.501076879,9.337045847,8.74444995,8.665187608,8.78241336,8.924288995,9.071644375,9.000880281,9.412509663,9.163819444,9.065129376,9.105804207,9.331750938,9.416027651
277_1121521,277.1121521,13.20084693,12.34349673,12.97503275,12.90824441,13.18929176,12.94062829,12.8140434,12.68428946,12.33142501,12.83939751,13.36028229,12.6201187,13.32148431,13.12748804,12.86784771,12.82992368,13.03763922,13.00423541,12.72818084,12.69863373,12.81651454,12.71700067,13.11854682,12.88122862,13.35016973,13.36544376,12.80044467,13.22224259,13.23962148,12.97408802,13.07230691,12.71352255,12.54668724,12.84480588,12.85579869,12.69841207,12.92157004,13.23731736,13.43348733,12.91493812,12.92919137,12.90897312,12.84844231,13.09846696,12.95294924,13.02771603,13.11250861,12.86241697,13.06361251,13.08211024,12.72877343,13.20857645,12.89171364,13.10079063,12.52386331,12.60293084,12.98747343,12.71455408,12.68149036,13.21379484,13.05310687,12.557364,12.91661921,13.08835767,13.22655434,12.77929125,12.66069589,13.06692633,12.38667447,12.6563636,12.6939951,12.69004033,13.18595909,12.87237888,12.85463464,12.96417834,12.55843165,12.92239895,13.14134737,12.81962733,13.30941969,12.73213962,12.80721761,12.958831,13.00651859,12.89635434,12.60151446,12.76685502,12.58434009,13.13655785,12.89136313,12.89260289,13.12060702,12.97181682,13.17222366,12.44307465,13.2753367,12.9992808,12.80022642,13.04718587,13.2813073,12.85545234,12.79492666,13.24089544,12.70526068,12.64173998,12.78707789,12.88968673,12.86562141,12.84612083,12.70942803,13.09321449,13.32955914,12.71213612,13.06786471,13.11521435,12.94895664,13.36435373,12.78605705,13.55312991,12.68078133,12.66781957,12.24130108,12.1943625,12.68321174,12.21090096,12.45316087,13.06332049,12.94246194,12.70875488,12.87500941,13.0272191,13.02051839,12.04308538,12.14298702,12.30883018,12.32375367,12.19668893,12.45900096,13.16291212,12.84607878,12.89528652,12.73923457,13.04975064,13.12016385
277_148463,277.148463,8.505462484,8.665458165,9.559116359,8.367181473,9.490492594,8.339556199,8.437287698,8.563881059,8.425685337,8.286231802,8.576452368,8.337399327,9.672314493,8.519912168,8.761418191,8.573782613,8.619621685,8.394540207,8.560100888,8.244261025,8.462499382,8.432729976,8.63965489,8.618093021,9.002106789,8.550087125,8.676526688,8.967562506,9.182802153,8.694049014,8.697915536,8.523051676,8.506265388,8.49976778,8.492612487,8.67448694,8.64295326,8.92495811,8.741970723,8.50483511,8.286961489,8.561095155,8.558255286,8.863483604,8.590430352,8.418907347,8.579971775,8.672339077,8.494543586,8.474786968,8.36196337,8.46804965,8.484223992,8.647310857,8.43338268,8.822506155,8.466379669,8.503421223,8.64136066,8.616175136,8.741918451,8.705035246,8.558883287,9.056915746,8.894226193,8.571496679,8.426278044,9.596385511,8.527408898,8.571651994,8.815269495,8.501834691,8.62372889,8.489934586,8.374686202,8.327508664,8.556067474,8.52855381,8.993232187,8.606835459,8.745984148,8.400403397,8.499186918,8.764713867,8.437866325,8.67523642,8.453132822,8.538154849,8.480587808,8.65965999,9.24612241,8.41235526,8.448512078,8.599917461,9.07278561,8.643307008,8.548432214,8.427494644,8.77513315,8.71622707,8.727423253,8.392375348,8.471310873,8.82000607,8.245697421,8.378277174,8.45948562,8.537469901,8.369531606,8.938792869,8.552320232,8.644622615,8.727268757,8.746329239,8.542394902,8.513730834,8.635368975,8.769689241,8.615168698,9.076189974,8.38613564,8.588713903,8.348235148,8.30388035,8.788066714,8.245294091,8.448596157,8.600762982,8.535316617,8.446386284,8.360512313,8.451580792,8.466382474,8.188289848,8.231112023,8.19854148,8.257175305,8.469766237,8.520732788,10.0493356,8.408855232,8.440387511,8.69087089,8.543891804,8.675441946
277_1563647,277.1563647,8.981383448,9.112994986,9.538178295,9.445780572,9.447197666,8.4216429,8.652359306,9.405735668,9.011661668,8.746935541,9.059572064,9.25196644,9.397406375,9.101474766,9.222673054,8.665467902,8.832885794,8.449965608,8.876201434,8.46234002,9.76998618,9.175580107,8.954012404,8.97302559,8.991470439,9.290926793,8.955269488,9.284891113,8.908945788,9.071643489,8.884199283,9.320957899,8.616154173,9.285049203,9.147995126,9.075134422,9.027305795,8.869814524,9.176471629,8.961594525,8.102807507,8.622479611,9.204478704,8.944932137,9.23724742,8.59498113,8.857096518,8.918327032,9.547755183,8.855861591,9.028189345,8.946902962,8.983025143,9.008112669,8.912465428,9.025361033,9.238830977,8.866751633,8.94721003,8.987549029,9.072126144,8.686633183,8.544937914,9.078596511,8.755719405,9.24269463,8.865686739,9.22791971,8.925786743,8.937212116,8.942385188,8.557795572,8.998005059,9.002284397,9.367913737,9.010626504,9.025023831,8.80318735,8.812828954,9.181972991,9.295890704,8.593752712,8.831780646,8.862659077,8.926439328,9.212089046,9.157066364,9.321911273,8.942500977,9.609030723,8.691768653,8.716825818,9.074506614,8.745991875,8.943726298,9.079303678,9.336096339,9.41814065,8.982694009,9.027282376,8.938689761,8.888760666,8.918067702,9.118207781,9.452958975,9.618874325,9.114549537,8.741778774,8.921530375,9.002256702,9.04487099,8.880646259,8.846667266,9.207357046,8.488649863,9.355026976,8.98756926,9.086251555,8.939855847,9.223499542,8.893017946,9.003750727,8.942213385,8.989355792,9.075236752,8.616388655,9.117940211,9.134073878,8.868667832,9.249277243,8.567655024,9.129633731,9.456543144,8.678493862,8.82186026,9.291158636,9.068696217,8.468138375,8.972193791,9.190567641,9.236476666,8.878850025,9.027681886,8.559032939,8.540583473
278_0352803,278.0352803,9.036192955,9.959797424,8.31023162,8.969958713,8.856092637,9.141182548,9.176530515,9.54954745,9.275548961,9.05301993,9.075193031,8.777016745,8.422147579,8.667229957,9.660816961,8.969188873,9.021388396,8.68456054,9.145797439,9.175577826,9.776320643,9.325869684,9.052278862,8.940838683,9.026353177,9.321109409,8.819761264,9.255515435,9.101921632,8.724135047,9.026868534,9.153990984,8.446903281,9.015424583,8.779220032,8.943774717,9.228433288,8.610857096,9.33247777,8.698422523,9.404726059,8.837726728,8.992933699,8.994543634,8.666173364,8.899386717,9.209739044,9.230327601,8.945628527,9.062961384,9.29927215,9.20476923,8.580015571,8.64611427,9.097495236,8.642982375,8.93755566,8.961113705,8.882102698,8.77143907,8.98743416,8.645424789,9.276335443,9.171481005,8.60634409,8.56504059,9.153512314,9.291211871,8.956913323,8.897330803,8.94733541,8.463583779,8.758637849,8.918989303,8.699309965,9.656317437,8.761629311,8.965418514,9.082744513,8.504654752,9.103125307,8.817928209,9.12133348,8.686538725,8.768819648,9.251993717,8.60673687,8.99644715,9.095551787,8.823959199,8.575418453,8.684785666,9.315834993,8.609823967,9.385802153,8.868175634,8.868871848,8.657034428,9.074179372,8.946674771,8.718618799,8.740771519,8.758060012,8.558261367,8.643169485,8.931898046,8.559485002,8.915195887,8.671238026,9.034233902,8.442066662,8.739211576,8.712346153,8.687478259,8.962515335,8.793446961,9.169983634,9.212733791,9.152484818,8.928654236,9.006733015,8.826951076,8.558652858,8.2512718,8.411421585,8.689218375,8.773197868,8.846851137,9.219598881,9.426933154,9.03450644,9.219357282,9.444429593,8.647666742,8.546201509,8.94679455,8.486627281,8.534167984,8.55311353,8.628124647,9.510321984,8.808417595,9.381283279,8.93055103,9.005523819
278_1154715,278.1154715,11.04155107,10.28169536,10.87495998,10.8614915,10.98746203,10.80361896,10.63971831,10.61244404,10.27143153,10.69320817,11.21386099,10.52800264,11.1672235,11.00172721,10.71929403,10.67935086,10.86755593,10.88263908,10.57991375,10.55134801,10.69691859,10.56797715,10.94994844,10.74443181,11.16828717,11.23066082,10.65195085,11.12376383,11.08888042,10.84194056,10.92673981,10.60478964,10.36553255,10.72457049,10.74408458,10.56278621,10.7513435,11.03363359,11.30009675,10.76869785,10.73857136,10.74082003,10.74456868,10.93318698,10.87699961,10.8342819,10.95235048,10.69897716,10.95372336,10.93381459,10.57079974,11.0412142,10.73442755,10.93623421,10.44394926,10.57895668,10.82520703,10.57953581,10.55528016,11.08432956,10.945723,10.35733409,10.7364159,10.96325005,11.06513721,10.68013755,10.53275145,10.92416391,10.28447722,10.50317269,10.51936244,10.55632043,11.03992856,10.71985151,10.76812749,10.79532593,10.41309939,10.74211645,10.96605236,10.74097543,11.174832,10.59887173,10.61118529,10.79371777,10.89069782,10.76254408,10.46864159,10.68358876,10.40839022,11.09384381,10.71088371,10.73431607,10.96003649,10.79563894,11.04835148,10.36891285,11.15407023,10.88376254,10.64943744,10.9274621,11.15418311,10.72459707,10.68591047,11.10368439,10.60954804,10.51720777,10.63730717,10.76926573,10.71144159,10.66407423,10.61169682,10.90191762,11.1697273,10.56834869,10.89905916,11.00309243,10.85451243,11.2580288,10.62592776,11.41155903,10.52048173,10.56315885,10.13606618,10.0588754,10.55109269,10.16494125,10.38162931,10.93886074,10.79190004,10.59749226,10.73205121,10.86480473,10.88129921,9.973406749,10.03744693,10.2913155,10.25134573,10.09875228,10.3872683,10.96748929,10.74836426,10.78485645,10.61205439,10.82948157,10.96655179
279_039585,279.039585,9.927468716,10.41329622,10.6203878,10.40942468,10.65291757,11.53865335,10.49785713,10.70923295,10.55688354,10.42453427,10.86198336,10.24441584,10.98013749,10.20610238,10.03911869,10.0434523,11.40500336,9.468366507,10.42098422,10.12021037,10.65239236,10.58661607,10.62451586,10.36325376,10.57252908,10.50826835,10.42026299,10.86236824,10.73340236,10.21916811,10.2801526,10.67376601,11.71585312,10.8281329,10.54916623,10.91342945,9.851539634,10.50248673,10.98233946,10.38629846,11.68943598,10.21398403,10.48437027,10.3391986,10.63800587,10.36425368,10.74864272,11.5620404,10.2581687,10.79150988,10.63304511,10.59250774,10.42194994,11.00182367,10.6230381,10.59161287,10.93221491,10.83266821,10.99399305,10.5440941,10.81183787,11.30775963,10.127613,10.55520794,11.66117243,10.36597551,10.81039048,10.6831138,10.26565467,10.2477564,10.90204048,10.11329971,9.864764845,10.26901762,10.08520081,10.3793423,10.66026535,10.75010713,10.78575724,10.72419392,10.79229815,11.7145858,10.21193747,10.12073978,9.952137451,10.42413715,11.58700229,10.47329843,10.67203975,11.03797026,10.64200718,11.58162093,10.48933028,11.44725383,10.07247142,11.4624171,10.19718693,11.75341927,10.40109951,10.73950525,10.59819674,10.79035939,10.35448787,10.76326901,10.71846157,10.37992191,10.2313138,10.26888943,10.47883267,10.34204464,10.80043444,10.53860077,10.67382978,11.35570124,11.7150198,10.78506386,11.04308532,10.63824412,11.9744442,10.47469734,10.4885361,10.48276974,10.16829872,10.53838378,10.74017815,10.64570476,11.00265222,10.94646085,10.31341325,10.35616891,11.52245232,11.31092444,10.63723934,10.72494466,10.2905535,10.76468747,10.54537597,10.5008039,10.65590676,10.64660722,10.95144004,10.47333394,10.70543797,11.95901093,10.75395243
279_1079753,279.1079753,9.870195798,9.015590927,9.623190117,9.589225236,9.779868904,9.571931463,9.48992406,9.275713957,8.939124273,9.50425572,9.984150772,9.288084463,9.94798986,9.771884597,9.50188902,9.417527899,9.744148146,9.641171228,9.370322193,9.287215825,9.533728459,9.341043336,9.700912051,9.555240572,9.963265838,9.996371856,9.381905367,9.821345814,9.641562682,9.569306524,9.675404088,9.380542638,9.233221524,9.531946118,9.427423133,9.320344778,9.613795279,9.861023112,10.08809719,9.572840043,9.534830089,9.486481088,9.512018931,9.711386747,9.594318255,9.695201633,9.781847564,9.496181073,9.745364948,9.770245853,9.334370914,9.80434672,9.472118388,9.688484778,9.169914246,9.286095062,9.617135879,9.323994925,9.342789625,9.841032346,9.738111127,9.115361812,9.553609792,9.761811168,9.818951069,9.401106995,9.290092013,9.672558884,8.998562748,9.271426303,9.302387138,9.397829334,9.871625964,9.470758633,9.437310731,9.630834902,9.174143538,9.539435739,9.75225954,9.476886931,9.934045738,9.370804209,9.467185816,9.643802032,9.615983096,9.622250692,9.229268874,9.474987571,9.125629328,9.699484565,9.534211568,9.5720408,9.702657969,9.642179941,9.772990261,9.038812546,9.906447574,9.622049716,9.450177484,9.7225385,9.880526084,9.462452253,9.391617076,9.905908192,9.272227798,9.279581806,9.445240183,9.519587119,9.520721792,9.454199036,9.331730866,9.63836788,9.949866885,9.309138442,9.70150041,9.811024243,9.580320949,10.05351914,9.354643108,10.11066271,9.32328194,9.414466364,8.909992228,8.844881685,9.407717286,8.969615577,9.135282695,9.667909749,9.502091061,9.376569627,9.48108491,9.633208706,9.666072284,8.828354918,8.705676517,8.97810676,9.000096834,8.910255095,9.128611685,9.735474745,9.482159716,9.563635021,9.307310979,9.696402964,9.690625744
280_0089256,280.0089256,8.380992803,8.40043836,8.05787614,8.208900088,8.057345337,8.751078417,8.27347704,8.256207022,8.252864331,8.27414671,8.550234393,8.622257449,10.30511387,8.425171292,8.2513409,8.52425926,9.295127341,8.002606704,8.353939621,8.429747133,8.335384213,8.484138283,8.477898971,8.393472225,8.292737796,8.530596368,8.353552573,8.393408676,8.395332486,8.502956508,8.482008745,8.506371648,8.687154211,8.366336037,8.350032311,8.412427643,8.636009335,8.434615878,8.339766826,8.670522551,8.73891468,8.469639944,8.452290115,8.516283017,8.524042105,8.48569838,8.437793125,8.377783947,8.441428909,8.377491059,8.321362159,8.603595669,8.594467749,8.404658398,8.361184248,8.25519173,8.327782896,8.310021191,8.296815231,8.562651111,8.327120829,9.164229295,8.290335506,8.718203623,9.078529957,8.661101671,8.37228225,8.522296457,8.524374929,8.453691307,8.441121242,8.620512758,8.230119991,8.44640837,8.249805074,8.571304632,8.284864631,8.262439176,8.533034037,8.457268426,8.57132427,9.090256456,8.318050722,8.257711487,8.490288803,8.565590042,9.027321533,8.419051626,8.384476094,8.368295276,8.40411001,8.666158352,8.299399074,9.056652686,8.623014231,8.975290536,8.526419598,9.130901719,8.280355031,8.520516406,8.518181983,8.581735773,8.440456768,8.532175678,8.410351278,8.319420973,8.754158779,8.343485027,8.426885061,8.468786075,8.161343171,8.447703545,8.300327281,8.330497303,8.992543298,8.325467932,8.374666418,8.639876344,9.115296492,8.480223205,8.421959483,8.248947005,8.231574529,8.438731213,8.470166331,8.086603788,8.40762582,8.401593919,8.435640462,8.722492468,8.893264154,8.611723948,8.4919673,8.138508528,8.300390007,8.18113498,8.290410932,8.148757019,8.34822833,10.47193316,8.500720444,8.341024272,8.52031799,8.963463964,7.913438951
280_0211437,280.0211437,11.11117086,10.61123078,9.972082985,11.06238711,10.33232553,10.75726932,10.27600749,10.3076896,10.48249917,10.11274245,10.53588209,10.68875749,9.921990791,11.01833311,10.88046896,11.06602596,11.14516589,10.56909268,10.62608414,10.74106549,10.45520837,10.31355651,10.58876183,10.71888352,10.54583347,11.04565912,10.34716629,10.7770172,10.58746668,10.84061586,10.95767794,10.59475553,10.26887319,10.66673615,10.49440488,10.35160224,11.14368304,10.7750538,10.32729094,10.9236278,10.61194081,10.66225761,10.80818087,10.82577987,10.90970715,10.43174991,10.55175715,10.31579133,11.13747094,10.62462995,10.54571838,10.76185154,10.83351644,10.20010399,10.68891077,10.34125204,10.36143027,10.50671036,10.05123749,10.79897126,10.88886276,10.74581664,10.8477172,10.99171245,10.82625659,11.13123356,10.28727883,10.37738648,10.64727884,10.75361285,10.4512984,10.97528499,10.83473923,10.79455934,10.79331672,10.935994,10.34292267,10.27286755,10.66680623,10.71958016,10.90369495,10.71533085,10.93046532,10.82009178,11.11338628,11.00620583,10.78366931,10.67020625,10.11897687,10.57150101,10.20781254,10.54746166,10.59559661,11.06529965,11.03845626,10.54631607,11.1762771,10.98896523,10.42093337,10.53758866,10.90309634,10.56056496,10.43622921,10.67475663,10.58501284,10.35839973,10.49696506,10.66162638,10.36725685,10.57811891,10.1995085,10.74579938,10.56889361,9.967099397,10.47405897,10.49122265,10.51458662,11.00928804,10.77857085,10.96191357,10.6041434,10.54754979,10.49725488,10.35740869,10.6463255,10.33685322,10.31203239,10.49271506,10.9617603,10.92761442,10.63524246,10.57629742,10.73841518,10.41608191,10.72097648,10.35112292,10.36584836,10.39870888,10.7416548,9.880607482,10.59895324,10.62774648,10.66442674,10.65384549,10.37266033
280_043039,280.043039,8.237291655,8.736571483,8.77706473,8.412722659,8.726539712,9.571798631,8.598745163,8.760697198,8.596399261,8.617350996,8.984007766,8.615303395,9.149679916,8.639093561,8.195969436,8.301295828,9.448378745,9.941527031,8.504006668,8.274278772,8.940195326,8.698971458,8.750710064,8.505760942,8.892363896,8.554151837,8.576758655,8.765766725,8.825580595,8.517351175,8.41099993,8.808036457,9.817488688,8.747210286,8.536980181,8.839250973,8.26081512,8.696759185,9.103716064,8.571923752,9.762487212,8.410310436,8.443612036,8.505025589,8.594233517,8.38156408,8.792635342,9.678149163,8.472949388,8.741485474,8.546997336,8.764658968,8.656885081,9.025754692,8.735849601,8.569683582,9.074229854,8.780421045,8.934031128,8.631414365,8.665834894,9.284420095,8.203260823,8.575784324,9.776527989,8.325174433,8.945485414,8.695291024,8.470283455,8.423878766,8.911645265,8.319618525,8.116444778,8.453925589,8.267907523,8.507034798,8.684373418,8.777970019,8.828233987,8.798605083,8.93193198,9.838337104,8.410816573,8.193937253,8.307234384,8.543179942,9.563433317,8.464150346,8.823105372,9.170245332,8.536256447,9.565304317,8.605314272,9.457649852,8.451278373,9.199600757,8.380266883,9.761786881,8.420466556,8.726507884,8.726954709,8.730192498,8.453349548,8.804940507,9.132051926,8.794404722,8.505376594,8.277817451,8.526339422,8.445764927,8.689667726,8.669728406,8.658337698,9.293173705,9.593256456,8.607361367,8.865535282,8.466159193,10.00871064,8.470223681,8.676468756,8.638364839,8.269476356,8.769938259,8.707836374,8.647193896,8.884302399,8.860365227,8.511745564,8.562445689,9.489829514,9.293915423,8.828404519,8.707703092,8.477123711,8.795453055,8.696486634,8.540482909,8.639381449,8.790446442,8.814498235,8.400456291,8.868214548,9.894797319,8.797597179
280_1045325,280.1045325,8.544687269,9.352074255,8.899147526,9.157108969,9.268267831,9.201102601,8.930137136,9.001587121,9.20353367,8.98773322,9.498477388,9.41994402,9.557935736,9.233391534,9.271081519,9.386785342,9.512370484,8.961975164,8.935887745,9.073886978,9.203729009,9.039617812,8.94382212,9.331089465,9.726615961,9.261453133,8.80331171,9.450535609,9.911563985,9.352409322,9.155616372,8.903450478,8.741165452,9.147612821,9.199773712,9.225208973,9.150955955,9.291898527,8.933529734,9.325894567,9.305670984,8.886007862,9.556715087,9.161544681,9.279300084,9.075380239,9.101428179,8.832274671,9.379849041,9.024906337,9.083540709,9.102690817,9.008745174,8.855108333,9.204067616,9.26623993,9.188837521,9.238561594,9.014407656,8.937640194,9.18839255,9.259800475,8.817636735,9.351665146,9.096315035,8.976528781,8.934930776,9.080456348,9.282939854,9.380291537,9.374473287,8.850700405,9.307232173,9.359530926,9.131517588,9.431548766,9.245024908,9.020457269,9.378371046,9.393023782,9.741905185,9.410025198,8.979963932,8.843546662,9.545084736,9.499436593,9.158463209,9.232779365,8.794971391,9.242261942,8.800419892,9.151902091,9.541221597,8.885331045,9.50993599,8.908396406,9.287348645,9.095698519,8.964694347,8.989191051,9.174429643,9.192102611,9.051421722,9.672527019,9.22597893,8.889273584,8.983194184,9.12617431,8.844339578,9.146365394,9.015036626,9.224349651,9.167250328,9.072078013,9.123090924,9.011788133,9.139277493,9.68086474,9.330609709,9.70179144,9.149597626,9.634526464,8.880745205,8.953331232,9.049714162,8.680708665,9.283871424,9.335414877,9.27983537,9.251526042,9.048846329,9.37428315,9.450727737,9.156197887,9.197773372,8.917440997,9.231984029,8.736966743,9.237440928,9.265247369,9.073371256,8.959059405,9.152544983,9.311107295,9.266045954
280_1114124,280.1114124,8.168466816,7.805708582,8.044232029,8.068051732,8.229918477,8.060876333,8.019993565,8.047479202,7.928347825,8.028179446,8.388585728,7.905012438,8.159871735,8.124504333,8.069888476,7.975724475,8.086471999,8.204130826,7.904522369,7.881266881,8.033383432,7.988056109,8.178487264,8.116073241,8.329796573,8.305237781,8.454320637,8.318281777,8.213756581,8.093277842,8.067758117,7.925409062,7.981643143,8.020204552,7.930038489,7.941471989,8.030931313,8.301040387,8.396698139,8.023512847,8.08018478,8.009979598,7.950819801,8.200741619,8.078030373,8.06902402,8.164306952,7.96830269,8.211533539,8.144721407,7.942844715,8.146994604,8.091191248,8.233423379,7.889489464,7.910362855,8.057511692,8.07901501,7.9251845,8.294566663,8.072758826,8.095795963,8.01340787,8.074201573,8.236061694,8.022960086,7.841459746,8.052816105,7.781190262,7.900150458,7.928221902,7.950102066,8.165188625,8.128216325,8.01667128,8.094291096,7.885829541,8.059359747,8.101734782,8.088720862,8.284130405,7.973704501,7.991138063,8.087481351,8.139968778,8.062672631,8.017482458,8.02802983,7.814575894,8.149121859,8.820727836,8.069371061,8.11463772,8.087235018,8.226015587,9.501677584,8.258140507,8.149329507,7.905848173,8.108688486,8.257816689,7.963652617,7.962076098,8.270592208,7.988885132,7.910493785,7.941596206,8.01780104,7.93773755,7.987948585,8.005505848,8.178421509,8.277671842,7.95325931,8.201533313,8.096647591,8.045585828,8.401199358,7.94069742,8.47356876,7.907489669,8.017793028,7.953426805,7.730363818,7.914861264,7.967186942,7.955836871,8.122835477,8.05783754,8.048152711,8.024780788,8.146798381,8.013245053,8.020214414,7.890836766,7.85045018,7.928706592,8.065304997,7.832748032,8.203828938,8.013109053,7.922830851,7.920736163,8.039593844,8.135629413
281_0052049,281.0052049,8.456755728,8.043003605,8.117466816,8.521825627,8.637300704,8.254281653,7.913912145,8.080290201,7.987693366,8.154866926,7.953020176,8.11169005,8.109985286,8.311002379,8.412886595,8.729554478,8.879886239,8.802194342,8.511329871,8.120931188,8.409093946,7.903294696,7.969888705,8.398264297,8.279720704,8.122443462,8.119179625,8.431046907,8.06059662,8.094312475,8.111412042,8.10045244,7.927985117,8.455244286,8.026227237,7.871444784,8.777547307,8.592326407,7.957715767,8.02700408,7.994020649,8.302549948,8.510699178,8.319431995,7.997667254,8.400623741,8.254195466,8.66532301,8.453765371,8.049423615,8.121005048,7.814533651,8.074816683,8.112958399,8.357155035,7.923052185,7.86547365,8.065289059,8.06658096,7.91421038,8.671343404,8.688488448,8.011165806,8.256343986,8.120629063,8.586694385,8.023551917,8.044786906,8.024524562,8.009598479,7.969327089,8.856725245,9.079030464,8.547691145,8.287566419,8.200623535,7.962832441,7.975844746,7.957989542,8.754706272,8.271316374,8.006198773,8.437284273,8.035265613,8.84759249,9.50887062,8.597583265,7.840749101,7.846195233,8.087705752,8.297903882,8.035396826,8.279285977,9.180224223,8.155140001,8.517387724,8.31565984,8.173182122,8.039248216,7.875586029,7.870439548,7.930781383,8.037824444,8.197308516,9.582506183,8.550406956,8.173674436,7.933392082,8.080595225,8.567828992,8.052573806,8.445512305,8.087983177,8.030963218,8.082724927,7.953521703,8.106816515,8.239604554,8.090489324,8.718472479,8.159123003,8.765866617,8.33972461,8.004354954,8.127679205,8.189945585,8.181712854,7.990902103,8.503776417,8.704503674,8.119906003,7.898356046,8.485025379,7.922543816,8.495463795,8.49038725,8.135637048,8.093086753,8.253341459,8.157019926,8.062413042,8.139671616,7.950760441,8.143600184,8.001272674
