"","V1","V2"
"Dapma7bEVm000011",0.00653799799124215,0.0374008222269338
"Dapma7bEVm000071",-0.0120283672074095,-0.00674809921233235
"Dapma7bEVm000126",0.00489949631503439,0.0374508776311161
"Dapma7bEVm000131",-0.0138048603125622,-0.00424127547014522
"Dapma7bEVm000206",0.00376982518915287,0.0426077086926848
"Dapma7bEVm000741",0.00394923746026445,0.0203297153614161
"Dapma7bEVm000766",-0.0163710821430217,-0.0138740215914835
"Dapma7bEVm000814",0.000547338808683922,0.0224475805256183
"Dapma7bEVm001242",-0.00784198033139133,-0.00267535382693924
"Dapma7bEVm001312",-0.000577380806603037,-0.025695360664319
"Dapma7bEVm001463",0.0266845789554396,0.00706733927154216
"Dapma7bEVm001487",0.0100712617910823,0.00956652331498565
"Dapma7bEVm001682",0.0102467251638101,0.00896808177488121
"Dapma7bEVm001783",-0.000739152870077351,-0.0214498087465932
"Dapma7bEVm001897",-0.0101155485064246,-0.00739066630570138
"Dapma7bEVm001933",-0.0142284971559612,-0.0100664249486657
"Dapma7bEVm001934",0.00090351036310898,0.00995206473650464
"Dapma7bEVm002196",0.00197838422728691,0.042858433645289
"Dapma7bEVm002234",0.0152579427863766,0.0166159930796141
"Dapma7bEVm002330",0.00308552223065677,0.0679422759977033
"Dapma7bEVm002847",0.0122235344233961,0.0134440358458861
"Dapma7bEVm003445",-0.0145624538073756,-0.0185685721518778
"Dapma7bEVm003587",0.00474689528330806,0.0266093932006632
"Dapma7bEVm003913",-0.00517886070521297,-0.0161584150763674
"Dapma7bEVm003981",-0.00169915220764527,-0.00420748927932505
"Dapma7bEVm004160",-0.00187907262172601,-0.032175329628018
"Dapma7bEVm004797",0.00319989158107069,0.0264097154900098
"Dapma7bEVm005094",8.74927655475282e-05,0.0365354804424374
"Dapma7bEVm005277",0.0125438005143087,0.01581794910841
"Dapma7bEVm005449",0.00702079134070833,0.014334224899585
"Dapma7bEVm005986",0.000886456777360344,0.0485314153928316
"Dapma7bEVm006163",-0.00406312438259804,-0.00992077059332277
"Dapma7bEVm006218",-0.000922740609802308,-0.00956968334951665
"Dapma7bEVm006494",0.00540267293416172,0.0350671317807333
"Dapma7bEVm006524",0.000487852732976749,0.0712959123056431
"Dapma7bEVm006542",0.000387323925893978,0.0263550247806313
"Dapma7bEVm006847",0.0128561507889335,0.0123823061000674
"Dapma7bEVm006980",0.000926072213275819,0.0139728381039376
"Dapma7bEVm007157",0.00161182020897699,0.00838582190946865
"Dapma7bEVm008106",-0.00489507231917666,-0.0122212476856745
"Dapma7bEVm009474",0.00138629810166098,0.0312799885033707
"Dapma7bEVm009729",-0.00164096696053699,-0.019685520413959
"Dapma7bEVm009776",0.00585501061297404,0.0228166065250949
"Dapma7bEVm009826",0.000136930242188338,0.0414354345547642
"Dapma7bEVm009861",0.0110730724727543,0.00604674416135239
"Dapma7bEVm009956",0.00235313392460407,0.0271383118525554
"Dapma7bEVm010471",0.034958591108904,0.000486441082310041
"Dapma7bEVm010922",0.00272405933584394,0.00714703312581239
"Dapma7bEVm011101",-0.00213558614832221,-0.0117715486608843
"Dapma7bEVm011335",-0.00130521256307517,-0.00824242424098885
"Dapma7bEVm012242",2.12616865078999e-05,0.00619845455143185
"Dapma7bEVm015143",0.0159007006552317,0.0126045462513618
"Dapma7bEVm015320",-0.011165772008143,-0.00429947468954713
"Dapma7bEVm018454",0.0161045172407206,0.0104109458930584
"Dapma7bEVm019701",-0.00398345889503486,-0.0110267178956436
"Dapma7bEVm023902",1.6715003978722e-06,0.00992600517729315
"Dapma7bEVm027610",0.0113720952440913,0.0305299158583104
"Dapma7bEVm027790",-0.00355408499405143,-0.0143209175448683
"Dapma7bEVm028349",0.00723499779915576,0.0177612570732056
"Dapma7bEVm028606",-0.00485287701717213,-0.0125642552277252
